### FILE: Adelaide.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Adelaide: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"HOOD, Lucy (ALP)",Percentage,"SANDERSON, Rachel (LIB)",Percentage,Total
Gilles Plains,1266,0.635,727,0.365,1993
Hampstead Gardens,725,0.59,503,0.41,1228
Hillcrest,1112,0.643,617,0.357,1729
Holden Hill,725,0.599,485,0.401,1210
Klemzig,1095,0.605,714,0.395,1809
Modbury,404,0.602,267,0.398,671
Oakden,700,0.595,477,0.405,1177
Para Vista,766,0.594,524,0.406,1290
Vale Park,745,0.493,765,0.507,1510
Windsor Gardens East,726,0.595,494,0.405,1220
Windsor Gardens West,704,0.613,445,0.387,1149
Polling Place Totals,8968,0.598,6018,0.402,14986
Declaration Ballot Papers,5507,0.601,3649,0.399,9156
District Total,14475,0.6,9667,0.4,24142

### FILE: Unley.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Unley: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"PISONI, David (LIB)",Percentage,"HARRISON, Ryan (ALP)",Percentage,Total Votes
Clarence Park,131,0.53,116,0.47,247
Fullarton,706,0.538,607,0.462,1313
Glenunga,116,0.455,139,0.545,255
Goodwood,385,0.343,738,0.657,1123
Hawthorn,420,0.523,383,0.477,803
Kingswood,475,0.487,500,0.513,975
Millswood,236,0.466,270,0.534,506
Mitcham,310,0.555,249,0.445,559
Myrtle Bank,826,0.543,696,0.457,1522
Netherby,345,0.652,184,0.348,529
Parkside,646,0.427,868,0.573,1514
Unley,874,0.459,1029,0.541,1903
Unley Park,872,0.671,427,0.329,1299
Unley South,587,0.553,475,0.447,1062
Wayville,267,0.418,372,0.582,639
Polling Place Totals,7196,0.505,7053,0.495,14249
Declaration Ballot Papers,5541,0.545,4631,0.455,10172
District Total,12737,0.522,11684,0.478,24421

### FILE: Waite.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Waite: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"HUTCHESSON, Catherine (ALP)",Percentage,"HYDE, Alexander (LIB)",Percentage,Total Votes
Belair,1534,0.583,1097,0.417,2631
Bellevue Heights,829,0.548,685,0.452,1514
Blackwood,1013,0.491,1049,0.509,2062
Blackwood Central,642,0.578,469,0.422,1111
Clapham,450,0.556,360,0.444,810
Colonel Light Gardens South,339,0.524,308,0.476,647
Coromandel Valley,946,0.596,641,0.404,1587
Eden Hills,794,0.601,528,0.399,1322
Flagstaff Hill East,274,0.54,233,0.46,507
Hawthorn,238,0.5,238,0.5,476
Hawthorndene,1148,0.607,744,0.393,1892
Kingswood,149,0.493,153,0.507,302
Mitcham,813,0.493,837,0.507,1650
Polling Place Totals,9169,0.555,7342,0.445,16511
Declaration Ballot Papers,4428,0.511,4236,0.489,8664
District Total,13597,0.54,11578,0.46,25175

### FILE: West Torrens.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
West Torrens: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"KOUTSANTONIS, Tom (ALP)",Percentage,"CRUZ, Helika (LIB)",Percentage,Total Votes
Allenby Gardens,815,0.659,422,0.341,1237
Brooklyn Park,420,0.654,222,0.346,642
