Division;Polling Place;Informal Vote
Calare;ABSENT;100
Calare;POSTAL;21
Calare;PRE POLL;14
Calare;PROVISIONAL;19
Charlton;Arcadia Vale;25
Charlton;Argenton;39
Charlton;Awaba;2
Charlton;Barnsley;40
Charlton;Blackalls;57
Charlton;Bolton Point;7
Charlton;Bonnells Bay;27
Charlton;Boolaroo;38
Charlton;Booragul;38
Charlton;Booragul Homes;3
Charlton;Brightwaters;21
Charlton;Cardiff;90
Charlton;Cardiff East;35
Charlton;Cardiff Heights;61
Charlton;Cardiff North;52
Charlton;Cardiff South;58
Charlton;Carey Bay;26
Charlton;Coal Point;21
Charlton;Cooranbong;31
Charlton;Dora Creek;31
Charlton;Edgeworth;114
Charlton;Edgeworth Heights;46
Charlton;Elermore Vale;53
Charlton;Eraring;2
Charlton;Fassifern;17
Charlton;Fennell Bay;54
Charlton;Garden Suburb;30
Charlton;Glendale;20
Charlton;Glendale East;53
Charlton;Hawkins Village;7
Charlton;Hillsborough (Charlton);17
Charlton;Holmesville;18
Charlton;Kilaben Bay;26
Charlton;Killingworth;9
Charlton;Marmong Point;7
Charlton;Martinsville;7
Charlton;Maryland;30
Charlton;Morisset;58
Charlton;Morisset Hospital;1
Charlton;Morisset Park;0
Charlton;Mount Hutton (Charlton);12
Charlton;New Lambton Heights;13
Charlton;Pittown;19
Charlton;Plattsburg;83
Charlton;Rathmines;45
Charlton;Special Hospital Team 1;5
Charlton;Special Hospital Team 2;2
Charlton;Speers Point;50
Charlton;Speers Point East;32
Charlton;Sunshine;18
Charlton;Sydney (Charlton);0
Charlton;Teralba;26
Charlton;Toronto;17
Charlton;Toronto North;33
Charlton;Toronto West;43
Charlton;Wallsend;117
Charlton;Wallsend Hospital;17
Charlton;Wallsend South;77
Charlton;Wangi Wangi;61
Charlton;Warners Bay;62
Charlton;Warners Bay Central (Charlton);37
Charlton;West Wallsend;57
Charlton;Whitegates;41
Charlton;Wyee;44
Charlton;ABSENT;132
Charlton;POSTAL;24
Charlton;PRE POLL;95
Charlton;PROVISIONAL;16
Chifley;Bennett Road;205
Chifley;Bidwill;129
Chifley;Blackett;107
Chifley;Blacktown West (Chifley);30
Chifley;Clairgate;94
Chifley;Dharruk;84
Chifley;Doonside;86
Chifley;Doonside North;150
Chifley;Eastern Creek;40
Chifley;Emerton;58
Chifley;Erskine Park;69
Chifley;Hassall Grove;68
Chifley;Hebersham;124
Chifley;Lethbridge Park;160
Chifley;Madang;28
Chifley;Minchinbury;109
Chifley;Mount Druitt Hospital;13
Chifley;Mount Druitt North;98
Chifley;Mount Druitt South;176
Chifley;O.L.C. Home;13
Chifley;Oxley Park;151
Chifley;Plumpton;177
Chifley;Rooty Hill North;135
Chifley;Rooty Hill South;52
Chifley;Shalvey;111
Chifley;Special Hospital Team 1;3
Chifley;St Marys;75
Chifley;St Marys North;79
Chifley;St Marys South;110
Chifley;Sydney (Chifley);0
Chifley;Tregear;117
Chifley;Walters Road (Chifley);71
Chifley;Whalan;133
Chifley;Willmot;72
Chifley;ABSENT;240
Chifley;POSTAL;8
Chifley;PRE POLL;46
Chifley;PROVISIONAL;39
Cook;Burraneer Bay;56
Cook;Caringbah;81
Cook;Caringbah Central;20
Cook;Caringbah North;104
Cook;Caringbah West;40
Cook;Cronulla;69
Cook;Cronulla Central;49
Cook;Cronulla North;42
Cook;Cronulla South;36
Cook;Dolans Bay;15
Cook;Grays Point;40
Cook;Gymea;66
Cook;Gymea North;26
Cook;Gymea South;70
Cook;Kareela;49
Cook;Kirrawee;69
Cook;Kirrawee South;36
Cook;Kurnell;57
Cook;Lilli Pilli;25
Cook;Miranda;87
Cook;Miranda Central;41
Cook;Miranda North;71
Cook;Special Hospital Team 1;4
Cook;Special Hospital Team 2;5
Cook;Sutherland East;10
Cook;Sutherland Hospital;20
Cook;Sutherland North (Cook);39
Cook;Sydney (Cook);2
Cook;Sylvania;35
Cook;Sylvania Central;23
Cook;Sylvania Heights;106
Cook;Sylvania Waters;29
Cook;Taren Point;38
Cook;Vickery Village;33
Cook;Wanda Beach;36
Cook;Woolooware;61
Cook;Yowie Bay;62
Cook;ABSENT;127
Cook;POSTAL;15
Cook;PRE POLL;66
Cook;PROVISIONAL;21
Cowper;Aldavilla;31
Cowper;Argents Hill;3
Cowper;Beechwood;14
Cowper;Bellangry;1
Cowper;Bellbrook;3
Cowper;Bellimbopinni;1
Cowper;Bellingen;32
Cowper;Bellingen Hospital;7
Cowper;Boambee;14
Cowper;Bonville;11
Cowper;Bowraville;25
Cowper;Coffs Harbour;69
Cowper;Coffs Harbour East;31
Cowper;Coffs Harbour Hospital;5
Cowper;Coffs Harbour Jetty;22
Cowper;Coffs Harbour Narranga;33
Cowper;Coffs Harbour South;26
Cowper;Coffs Harbour West;67
Cowper;Coramba;9
Cowper;Crescent Head;21
Cowper;Deervale;2
Cowper;Dorrigo;24
Cowper;Dorrigo North;2
Cowper;Eungai Creek;5
Cowper;Frederickton;19
