Division;Polling Place;Informal Vote
McEwen;Wallan Wallan;41
McEwen;Wandong;15
McEwen;Warrenbayne;1
McEwen;Whitfield;2
McEwen;Whittlesea;58
McEwen;Winters Flat;8
McEwen;Wollert;9
McEwen;Woods Point;1
McEwen;Yan Yean;2
McEwen;Yarck;3
McEwen;Yea;21
McEwen;ABSENT;181
McEwen;POSTAL;28
McEwen;PRE POLL;26
McEwen;PROVISIONAL;18
McMillan;Bona Vista;3
McMillan;Buln Buln;7
McMillan;Bunyip;20
McMillan;Churchill;54
McMillan;Cloverlea;2
McMillan;Cora Lynn;3
McMillan;Cumberland Park;97
McMillan;Darnum;18
McMillan;Drouin;83
McMillan;Drouin South;11
McMillan;Drouin West;1
McMillan;Ellinbank;5
McMillan;Erica;13
McMillan;Garfield;21
McMillan;Hallora;1
McMillan;Hazelwood North;19
McMillan;Hill End;1
McMillan;Iona;5
McMillan;Jindivick;3
McMillan;Labertouche;2
McMillan;Lillico;3
McMillan;Longwarry;21
McMillan;Longwarry North;1
McMillan;Maryknoll;10
McMillan;Moe;106
McMillan;Moe Central;65
McMillan;Moe West;67
McMillan;Morwell;55
McMillan;Morwell Central;74
McMillan;Morwell Estate;55
McMillan;Morwell North;57
McMillan;Nar Nar Goon;24
McMillan;Nar Nar Goon North;9
McMillan;Narracan;0
McMillan;Neerim Junction;3
McMillan;Neerim South;21
McMillan;Newborough;57
McMillan;Newborough East;36
McMillan;Nilma;5
McMillan;Noojee;7
McMillan;Officer (McMillan);4
McMillan;Pakenham;68
McMillan;Pakenham Central;59
McMillan;Pakenham North;1
McMillan;Pakenham South;6
McMillan;Pakenham Upper;12
McMillan;Rawson;2
McMillan;Ripplebrook;2
McMillan;Rokeby;4
McMillan;Special Hospital Team 1;2
McMillan;Special Hospital Team 2;3
McMillan;Special Hospital Team 3;4
McMillan;Tanjil South;6
McMillan;Tetoora Road;5
McMillan;Thorpdale;9
McMillan;Tonimbuk;3
McMillan;Toomuc Valley;4
McMillan;Trafalgar;34
McMillan;Traralgon;100
McMillan;Traralgon East;79
McMillan;Traralgon South;8
McMillan;Traralgon West;35
McMillan;Tyers;8
McMillan;Tynong;13
McMillan;Tynong North;3
McMillan;Warragul;63
McMillan;Warragul East;21
McMillan;Warragul North;23
McMillan;Willowgrove;8
McMillan;Yallourn North;32
McMillan;Yarragon;19
McMillan;ABSENT;102
McMillan;POSTAL;11
McMillan;PRE POLL;40
McMillan;PROVISIONAL;7
Mallee;ABSENT;100
Mallee;POSTAL;20
Mallee;PRE POLL;38
Mallee;PROVISIONAL;15
Maribyrnong;Aberfeldie;42
Maribyrnong;Airport West;114
Maribyrnong;Albanvale;105
Maribyrnong;Albion;62
Maribyrnong;Albion North;100
Maribyrnong;Avondale Heights;149
Maribyrnong;Avondale Heights Central;93
Maribyrnong;Avondale Heights North;52
Maribyrnong;Buckley Park;61
Maribyrnong;Essendon West;37
Maribyrnong;Keilor East;56
Maribyrnong;Keilor Heights;89
Maribyrnong;Keilor Park;68
Maribyrnong;Keilor South;151
Maribyrnong;Kings Park;137
Maribyrnong;Moonee Ponds Central;34
Maribyrnong;Moonee Ponds West;68
Maribyrnong;Niddrie;52
Maribyrnong;Niddrie Central;99
Maribyrnong;Special Hospital Team 1;0
Maribyrnong;St Albans;140
Maribyrnong;St Albans East;157
Maribyrnong;St Albans North;134
Maribyrnong;St Albans South;86
Maribyrnong;St Albans South East;106
Maribyrnong;St Albans West;107
Maribyrnong;Stevensville;94
Maribyrnong;ABSENT;182
Maribyrnong;POSTAL;21
Maribyrnong;PRE POLL;44
Maribyrnong;PROVISIONAL;7
Melbourne;Abottsford;21
Melbourne;Ascot Vale;40
Melbourne;Ascot Vale Central;87
Melbourne;Ascot Vale East;89
Melbourne;Ascot Vale West;61
Melbourne;Blyth;64
Melbourne;Brunswick East;66
Melbourne;Brunswick South;63
Melbourne;Brunswick South East;27
Melbourne;Brunswick South West;98
Melbourne;Brunswick West;19
Melbourne;Carlton;122
Melbourne;Carlton Central;58
Melbourne;Carlton North;49
Melbourne;Carlton South;26
Melbourne;Clifton Hill;32
Melbourne;Collingwood;126
Melbourne;Collingwood North;41
Melbourne;Cremorne;11
Melbourne;Delbridge;18
Melbourne;East Melbourne;21
Melbourne;Edward;59
Melbourne;Fitzroy;168
Melbourne;Fitzroy Central;30
Melbourne;Fitzroy North;66
Melbourne;Flemington;110
Melbourne;Flemington Racecourse;1
Melbourne;Hotham Hill;73
Melbourne;Kensington;55
Melbourne;Melbourne;25
Melbourne;Merri;31
Melbourne;Newmarket;111
Melbourne;North Melbourne;70
Melbourne;North Melbourne Central;29
Melbourne;Parkville;31
Melbourne;Prison Mobile Team 1;0
Melbourne;Richmond;119
Melbourne;Richmond Central;56
Melbourne;Richmond East;132
Melbourne;Richmond North;43
Melbourne;Richmond South;16
Melbourne;Richmond West;96
Melbourne;Royal Melbourne Hospital;9
Melbourne;Royal Park;2
Melbourne;Royal Women's Hospital;2
Melbourne;Special Hospital Team 1;1
Melbourne;Special Hospital Team 2;3
Melbourne;Special Hospital Team 3;2
Melbourne;Special Hospital Team 4;3
Melbourne;St Vincent's Hospital;5
Melbourne;ABSENT;167
Melbourne;POSTAL;22
Melbourne;PRE POLL;63
Melbourne;PROVISIONAL;26
Melbourne Ports;Alfred Hospital;3
Melbourne Ports;Argyle;18
Melbourne Ports;Bridport;56
Melbourne Ports;Camden;70
Melbourne Ports;Carnegie West;21
Melbourne Ports;Caulfield;47
Melbourne Ports;Caulfield East;59
Melbourne Ports;Caulfield Hospital;30
Melbourne Ports;Caulfield North;119
Melbourne Ports;Caulfield South;71
Melbourne Ports;Caulfield Upper;71
Melbourne Ports;Caulfield West;39
Melbourne Ports;Elsternwick;106
Melbourne Ports;Elsternwick North;26
Melbourne Ports;Elwood;61
Melbourne Ports;Elwood North;68
Melbourne Ports;Emerald Hill;30
Melbourne Ports;Fawkner Park;39
Melbourne Ports;Graham;47
Melbourne Ports;Kerferd;81
Melbourne Ports;Middle Park;21
Melbourne Ports;Port Melbourne;70
Melbourne Ports;Prahran West;13
Melbourne Ports;Redan Central;36
Melbourne Ports;Ripponlea East;33
Melbourne Ports;Ripponlea North;73
Melbourne Ports;Sandridge;51
Melbourne Ports;South Melbourne;92
Melbourne Ports;Special Hospital Team 1;3
Melbourne Ports;Special Hospital Team 2;6
Melbourne Ports;Special Hospital Team 3;1
Melbourne Ports;St Kilda;154
Melbourne Ports;St Kilda Beach;78
Melbourne Ports;St Kilda Central;15
Melbourne Ports;St Kilda North;60
Melbourne Ports;St Kilda Park;38
Melbourne Ports;St Kilda South;78
Melbourne Ports;ABSENT;134
Melbourne Ports;POSTAL;52
Melbourne Ports;PRE POLL;63
Melbourne Ports;PROVISIONAL;20
Menzies;Beverley Hills;93
Menzies;Botanic Park;24
Menzies;Bulleen;139
Menzies;Bulleen West;54
Menzies;Donburn;7
Menzies;Doncaster;113
Menzies;Doncaster Central;41
Menzies;Doncaster East;158
Menzies;Doncaster Heights;58
Menzies;Doncaster Park;77
Menzies;Doncaster South;39
Menzies;Doncaster West;57
Menzies;Donvale;89
Menzies;Eaglemont;26
Menzies;Fairy Hills;29
Menzies;Gumnut Gully;21
Menzies;Ivanhoe East;69
Menzies;Lower Templestowe;51
Menzies;Milgate;82
Menzies;Serpell;50
Menzies;Special Hospital Team 1;7
Menzies;Special Hospital Team 2;5
Menzies;Templestowe;100
Menzies;Templestowe Heights;139
Menzies;Templestowe Park;58
Menzies;Templestowe Valley;38
Menzies;The Pines;21
Menzies;Tunstall;43
Menzies;Waldau;67
Menzies;Yarraleen;78
Menzies;ABSENT;127
Menzies;POSTAL;12
Menzies;PRE POLL;55
Menzies;PROVISIONAL;3
Murray;Appin South;0
Murray;Ardmona;9
Murray;Ballendella;2
Murray;Bamawm;5
Murray;Bamawm Extension;2
Murray;Barmah;5
Murray;Boort;17
Murray;Bunbartha;1
Murray;Byrneside;2
Murray;Calivil;1
Murray;Cohuna;30
Murray;Colbinabbin;4
Murray;Congupna;6
Murray;Cooma;2
Murray;Corop;0
Murray;Dhurringile;2
Murray;Dingee;4
Murray;Dingwall;0
Murray;Dookie;4
Murray;Dookie College;0
Murray;Durham Ox;1
Murray;Echuca;59
Murray;Echuca Central;9
Murray;Echuca East;36
Murray;Echuca Hospital;15
Murray;Echuca South;58
Murray;Echuca Village;6
Murray;Echuca West;8
Murray;Girgarre;7
Murray;Goulburn Valley Base Hospital;7
Murray;Gowrie Street;90
Murray;Grahamvale;13
Murray;Gunbower;13
Murray;Guthrie Street;39
Murray;Katunga;12
Murray;Kerang;54
Murray;Kerang North;23
Murray;Kialla;4
Murray;Kialla West;11
Murray;Knight Street;42
Murray;Koondrook;15
Murray;Koroop;0
Murray;Kotta;3
Murray;Kotupna;1
Murray;Koyuga;0
Murray;Ky Valley;4
Murray;Kyabram;65
Murray;Kyabram West;39
Murray;Lake Charm;1
Murray;Lalbert;0
Murray;Lancaster;7
Murray;Leitchville;7
Murray;Lemnos;12
Murray;Lockington;19
Murray;Macorna;2
Murray;Mead;1
Murray;Merrigum;9
Murray;Mitiamo;4
Murray;Mooroopna;62
Murray;Mooroopna Hospital;4
Murray;Mooroopna North;1
Murray;Mooroopna Park;59
Murray;Murchison;19
Murray;Murrabit;3
Murray;Mystic Park;0
Murray;Nanneella;6
Murray;Naring;2
Murray;Nathalia;32
Murray;Numurkah;57
Murray;Orrvale;9
Murray;Picola;5
Murray;Pine Lodge;0
Murray;Pyramid Hill;13
Murray;Quambatook;5
Murray;Rochester;58
Murray;Rushworth;35
Murray;Serpentine;5
Murray;Shepparton;24
Murray;Shepparton Central;31
Murray;Shepparton East;25
Murray;Shepparton North;52
Murray;Shepparton South;55
Murray;Special Hospital Team 1;2
Murray;Special Hospital Team 2;0
Murray;Special Hospital Team 3;2
Murray;Special Hospital Team 4;6
Murray;Special Hospital Team 5;0
Murray;Stanhope;15
Murray;Strathmerton;16
Murray;Tallygaroopna;6
Murray;Tatura;63
Murray;Tennyson;1
Murray;Tongala;20
Murray;Toolamba;6
Murray;Toolleen;1
Murray;Torrumbarry;3
Murray;Undera;8
Murray;Waaia;0
Murray;Wanganui;38
Murray;Wilmot Road;159
Murray;Wunghnu;3
Murray;Wyuna;1
Murray;Wyuna East;6
Murray;Yalca South;3
Murray;Yarrawalla South;2
Murray;Yielima;1
Murray;ABSENT;83
Murray;POSTAL;17
Murray;PRE POLL;30
Murray;PROVISIONAL;10
Scullin;Apollo Parkways;89
Scullin;Bundoora North;32
Scullin;Diamond Creek;65
Scullin;Diamond Creek East;57
Scullin;Eltham North;42
Scullin;Findon;111
Scullin;Glen Katherine;27
Scullin;Greenhills;96
Scullin;Greensborough;49
Scullin;Greensborough East;10
Scullin;Grimshaw;71
Scullin;Hurstbridge West;7
Scullin;Keelbundoora;32
Scullin;Lalor;160
Scullin;Lalor East;159
Scullin;Lalor North;112
Scullin;Lalor Park;135
Scullin;Lalor West;113
Scullin;Merrilands;187
Scullin;Mill Park;88
Scullin;Norris Bank;111
Scullin;Plenty;9
Scullin;Ruthven;171
Scullin;Special Hospital Team 1;2
Scullin;The Stables;142
Scullin;Thomastown;62
Scullin;Thomastown East;142
Scullin;Thomastown Meadows;103
Scullin;Thomastown West;277
Scullin;Watsonia North;115
Scullin;Wattle Glen South;2
Scullin;Yarrambat;18
Scullin;ABSENT;147
Scullin;POSTAL;20
Scullin;PRE POLL;38
Scullin;PROVISIONAL;11
Wannon;Allansford;18
Wannon;Ararat;84
Wannon;Ararat West;31
Wannon;Ayrford;3
Wannon;Balmoral;8
Wannon;Beaufort;44
Wannon;Berrybank;2
Wannon;Bessiebelle;2
Wannon;Bolwarra;13
Wannon;Branxholme;7
Wannon;Buangor;0
Wannon;Bundarra;9
Wannon;Byaduk;1
Wannon;Cape Clear;5
Wannon;Caramut;7
Wannon;Carngham;18
Wannon;Casterton;55
Wannon;Cavendish;10
Wannon;Chetwynd;1
Wannon;Coleraine;37
Wannon;Condah;8
Wannon;Darlington;1
Wannon;Dartmoor;17
Wannon;Dennington;22
Wannon;Dergholm;3
Wannon;Derrinallum;10
Wannon;Digby;7
Wannon;Drumborg;3
Wannon;Dunkeld;11
Wannon;Ecklin South;1
Wannon;Elmhurst;3
Wannon;Glenormiston;4
Wannon;Glenthompson;8
Wannon;Gorae West;12
Wannon;Grassmere;1
Wannon;Hamilton;98
Wannon;Hamilton Central;29
Wannon;Hamilton East;10
Wannon;Hamilton North;4
Wannon;Hawkesdale;9
Wannon;Hexham;0
Wannon;Heywood;42
Wannon;Kennedy Street;35
Wannon;Koroit;35
Wannon;Lake Bolac;7
Wannon;Linton;12
Wannon;Lismore;7
Wannon;Lyndoch;12
Wannon;Macarthur;13
Wannon;Mailors Flat;10
Wannon;Maroona;0
Wannon;Merino;12
Wannon;Merrivale;15
Wannon;Mortlake;28
Wannon;Moyston;4
Wannon;Naringal;2
Wannon;Narrawong;10
Wannon;Nelson;5
Wannon;Noorat;8
Wannon;Nullawarre;6
Wannon;Orford;4
Wannon;Panmure;10
Wannon;Patterson Park;19
Wannon;Penshurst;19
Wannon;Peterborough;1
Wannon;Pigeon Ponds;1
Wannon;Pomonal;5
Wannon;Poolaijelo;1
Wannon;Port Campbell;10
Wannon;Port Fairy;34
Wannon;Portland;4
Wannon;Portland Central;75
Wannon;Portland North;3
Wannon;Portland South;40
Wannon;Purnim;1
Wannon;Raglan;4
Wannon;Scarsdale;6
Wannon;Scotts Creek;6
Wannon;Simpson;11
Wannon;Skipton;23
Wannon;Special Hospital Team 1;1
Wannon;Special Hospital Team 2;3
Wannon;Special Hospital Team 3;2
Wannon;Special Hospital Team 4;0
Wannon;Strathdownie;2
Wannon;Streatham;4
Wannon;Tarrington;3
Wannon;Tatyoon;2
Wannon;Terang;56
Wannon;The Sisters;3
Wannon;Timboon;18
Wannon;Toolong;4
Wannon;Tower Square;18
Wannon;Trawalla;2
Wannon;Tyrendarra;5
Wannon;Vasey;1
Wannon;Victoria Valley;1
Wannon;Wando Vale;4
Wannon;Wangoom;5
Wannon;Warrnambool;158
Wannon;Warrnambool Base Hospital;19
Wannon;Warrnambool East;61
Wannon;Warrnambool Education Centre;41
Wannon;Warrnambool North;47
Wannon;Warrnambool South;16
Wannon;Warrnambool West;71
Wannon;Willaura;13
Wannon;Winslow;5
Wannon;Wiridjil;1
Wannon;Woodford;2
Wannon;Woolsthorpe;7
Wannon;Woorndoo;3
Wannon;Yambuk;4
Wannon;ABSENT;118
Wannon;POSTAL;16
Wannon;PRE POLL;48
Wannon;PROVISIONAL;6
Wills;ABSENT;132
Wills;POSTAL;12
Wills;PRE POLL;43
Wills;PROVISIONAL;11
Bowman;Alexandra Hills;96
Bowman;Alexandra Park;42
Bowman;Amity Point;2
Bowman;Birkdale;107
Bowman;Birkdale South;57
Bowman;Brisbane City (Bowman);3
Bowman;Capalaba;82
Bowman;Capalaba School (Bowman);74
Bowman;Cleveland;52
Bowman;Cleveland School;100
Bowman;Coochiemudlo Island;4
Bowman;Coolnwynpin;30
Bowman;Dunwich;16
Bowman;Hilliard;17
Bowman;Lake Sherrin;22
Bowman;Lindum;29
Bowman;Lota;38
Bowman;Macleay Island;25
Bowman;Manly;40
Bowman;Manly School;39
Bowman;Manly West;43
Bowman;Ormiston;46
Bowman;Point Lookout;10
Bowman;Russell Island;35
Bowman;Special Hospital Team 1;1
Bowman;Special Hospital Team 2;5
Bowman;Tangalooma;1
Bowman;Thorneside;28
Bowman;Thornlands;65
Bowman;Victoria Point;90
Bowman;Vienna Woods;70
Bowman;Wellington Point;69
Bowman;Wondall Heights;50
Bowman;Wynnum;34
Bowman;Wynnum Central;77
Bowman;Wynnum High;17
Bowman;Wynnum North;60
Bowman;Wynnum North High;37
Bowman;Wynnum West;83
Bowman;ABSENT;122
Bowman;POSTAL;20
Bowman;PRE POLL;34
Bowman;PROVISIONAL;6
Brisbane;Alderley;61
Brisbane;Arana Hills (Brisbane);24
Brisbane;Ashgrove;61
Brisbane;Ashgrove West (Brisbane);20
Brisbane;Ballymore;21
Brisbane;Brisbane City (Brisbane);43
Brisbane;Dorrington;28
Brisbane;Enoggera;14
Brisbane;Enoggera West;12
Brisbane;Everton Hills (Brisbane);59
Brisbane;Everton Park;58
Brisbane;Everton Park North;57
Brisbane;Fortitude Valley;11
Brisbane;Gaythorne;42
Brisbane;Gordon Park;48
Brisbane;Grange;42
Brisbane;Grange West;28
Brisbane;Grovely;35
Brisbane;Ithaca Creek;31
Brisbane;Ithaca South;47
Brisbane;Kedron Heights;50
Brisbane;Kelvin Grove;42
Brisbane;Keperra (Brisbane);35
Brisbane;Lutwyche (Brisbane);61
Brisbane;McDowall (Brisbane);26
Brisbane;Merthyr;79
Brisbane;Mitchelton;28
Brisbane;Mitchelton East;22
Brisbane;Moonyah;23
Brisbane;New Farm;166
Brisbane;Newmarket;45
Brisbane;Newmarket South;21
Brisbane;Oxford Park;55
Brisbane;Petrie Terrace;22
Brisbane;Royal Brisbane Hospital;28
Brisbane;Somerset Hills (Brisbane);51
Brisbane;Special Hospital Team 1;13
Brisbane;Special Hospital Team 2;4
Brisbane;Spring Hill;51
Brisbane;Stafford;72
Brisbane;Stafford Central;31
Brisbane;Stafford Heights;83
Brisbane;Stafford West;37
Brisbane;West Paddington (Brisbane);28
Brisbane;Wilston School;63
Brisbane;Windsor;65
Brisbane;ABSENT;170
Brisbane;POSTAL;26
Brisbane;PRE POLL;53
Brisbane;PROVISIONAL;5
Capricornia;Allenstown;78
Capricornia;Alpha;15
Capricornia;Alton Downs;10
Capricornia;Applegarth;7
Capricornia;Archer Park;12
Capricornia;Bajool;7
Capricornia;Baralaba;10
Capricornia;Baree;10
Capricornia;Bauhinia Downs;2
Capricornia;Berserker;95
Capricornia;Blackwater;48
Capricornia;Blackwater Central;14
Capricornia;Bluff;8
Capricornia;Bouldercombe;7
Capricornia;Brisbane City (Capricornia);0
Capricornia;Burnett Street;13
Capricornia;Capella;10
Capricornia;Cawarral;12
Capricornia;Clarke Creek;1
Capricornia;Clermont;2
Capricornia;Clermont Central;37
Capricornia;Clermont Hospital;16
Capricornia;Cooee Bay;26
Capricornia;Crescent Lagoon;54
Capricornia;Depot Hill;28
Capricornia;Dingo;5
Capricornia;Duaringa;12
Capricornia;Dululu;2
Capricornia;Dysart;46
Capricornia;Emu Park;45
Capricornia;Farnborough;22
Capricornia;Frenchville;27
Capricornia;Glenmore;95
Capricornia;Gogango;1
Capricornia;Gracemere;42
Capricornia;Jericho;8
Capricornia;Keppel Sands;8
Capricornia;Kilcummin;1
Capricornia;Lakes Creek;21
Capricornia;Marian (St Stanislaus);18
Capricornia;Marlborough;1
Capricornia;Marmor;6
Capricornia;Middlemount;25
Capricornia;Moranbah;55
Capricornia;Moranbah West;56
Capricornia;Mount Archer;41
Capricornia;Mount Morgan;61
Capricornia;North Rockhampton High School;91
Capricornia;Ogmore;0
Capricornia;Park Avenue;70
Capricornia;Parkhurst;30
Capricornia;Port Curtis;9
Capricornia;Prison Mobile Team 1;1
Capricornia;Ridgelands;5
Capricornia;Rockhampton;28
Capricornia;Rockhampton Central;16
Capricornia;Rockhampton General Hospital;19
Capricornia;Rockhampton North Special School;20
Capricornia;Rockhampton South;40
Capricornia;Rockonia;32
Capricornia;Special Hospital Team 1;14
Capricornia;Special Hospital Team 2;12
Capricornia;Special Hospital Team 3;0
Capricornia;St Lawrence;2
Capricornia;Stanwell;7
Capricornia;The Caves;8
Capricornia;The Hall;31
Capricornia;Tieri;19
Capricornia;Wandal;74
Capricornia;Westwood;1
Capricornia;Woorabinda;32
Capricornia;Wowan;8
Capricornia;Yaamba;5
Capricornia;Yeppoon;98
Capricornia;ABSENT;140
Capricornia;POSTAL;31
Capricornia;PRE POLL;27
Capricornia;PROVISIONAL;8
Dawson;Airlie Beach;23
Dawson;Airville;20
Dawson;Alligator Creek;25
Dawson;Andergrove;55
Dawson;Ayr;85
Dawson;Ayr Hospital;45
Dawson;Bloomsbury;3
Dawson;Bowen;89
Dawson;Bowen Hospital;4
Dawson;Brandon;30
Dawson;Brisbane City (Dawson);1
Dawson;Bucasia;34
Dawson;Calen;10
Dawson;Cannonvale Beach;33
Dawson;Carmila;9
Dawson;Chelona;8
Dawson;Clare;2
Dawson;Collinsville;45
Dawson;Collinsville Hospital;4
Dawson;Coningsby;13
Dawson;Conway Beach;7
Dawson;Coppabella;1
Dawson;Cunningham Home;23
Dawson;Dalbeg;1
Dawson;Dows Creek;1
Dawson;Dundula;22
Dawson;East Ayr;52
Dawson;Eimeo;38
Dawson;Emmanuel;27
Dawson;Eton;14
Dawson;Eungella;1
Dawson;Farleigh;10
Dawson;Finch Hatton;8
Dawson;Fitzgerald;53
Dawson;Gargett;8
Dawson;Giru;27
Dawson;Glenden;18
Dawson;Glenella;18
Dawson;Good Shepherd Lodge;4
Dawson;Goose Ponds;40
Dawson;Grendon Street;37
Dawson;Gumlu;4
Dawson;Habana;2
Dawson;Hampden;13
Dawson;Home Hill;58
Dawson;Homebush;8
Dawson;Homefield;41
Dawson;Inkerman;7
Dawson;Jarvisfield;14
Dawson;Kalamia;1
Dawson;Kelsey Creek;2
Dawson;Koumala;19
Dawson;Lethebrook;4
Dawson;Lower Gregory;4
Dawson;Mackay;31
Dawson;Mackay Hospital;9
Dawson;Mackay Mater Hospital;3
Dawson;Mackay South;72
Dawson;Mackay West;72
Dawson;Marian;20
Dawson;Merinda;18
Dawson;Millaroo;2
Dawson;Mirani;17
Dawson;Mount Julian;3
Dawson;Mount Ossa;7
Dawson;Narpi;1
Dawson;Nebo;7
Dawson;Nebo Road;48
Dawson;North Eton;4
Dawson;North Mackay;22
Dawson;Oakenden;3
Dawson;Osborne;6
Dawson;Owens Creek;0
Dawson;Parkside;26
Dawson;Pindi Pindi;2
Dawson;Pinnacle;1
Dawson;Pleystowe;4
Dawson;Proserpine;54
Dawson;Proserpine Hospital;18
Dawson;Queens Beach;61
Dawson;Racecourse;6
Dawson;Sandiford;3
Dawson;Sarina;60
Dawson;Sarina Beach;2
Dawson;Sarina Range;8
Dawson;Scottville;14
Dawson;Seaforth;16
Dawson;Septimus;3
Dawson;Shinfield;7
Dawson;Slade Point;54
Dawson;Special Hospital Team 1;5
Dawson;Special Hospital Team 2;0
Dawson;Special Hospital Team 3;0
Dawson;Special Hospital Team 4;6
Dawson;Victoria Park;98
Dawson;Walkerston;41
Dawson;Yalboroo;0
Dawson;ABSENT;100
Dawson;POSTAL;21
Dawson;PRE POLL;56
Dawson;PROVISIONAL;5
Dickson;Albany Creek (Dickson);36
Dickson;Arana Hills ( Dickson);35
Dickson;Bray Park;97
Dickson;Brisbane City (Dickson);3
Dickson;Burpengary;102
Dickson;Closeburn;6
Dickson;Coominya;19
Dickson;Dayboro;28
Dickson;Esk;11
Dickson;Everton Hills ( Dickson);14
Dickson;Fernvale;23
Dickson;Ferny Grove;52
Dickson;Ferny Hills;74
Dickson;Ferny Hills North;51
Dickson;Glamorgan Vale;6
Dickson;Haigslea;3
Dickson;Kallangur;162
Dickson;Kallangur West;18
Dickson;Keperra ( Dickson);12
Dickson;Kurwongbah;27
Dickson;Lawnton;80
Dickson;Lowood;28
Dickson;Marburg;13
Dickson;Minden;5
Dickson;Morayfield (Dickson);47
Dickson;Morayfield East;17
Dickson;Mount Nebo;2
Dickson;Mount Tarampa;3
Dickson;Murrumba Downs;13
Dickson;Narangba;46
Dickson;Petrie;53
Dickson;Pine Mountain;8
Dickson;Rosewood (Dickson);22
Dickson;Samford;42
Dickson;Special Hospital Team 1;4
Dickson;Strathpine;65
Dickson;Strathpine East;17
Dickson;Strathpine West;37
Dickson;Tarampa;13
Dickson;Walloon;25
Dickson;ABSENT;0
Dickson;POSTAL;17
Dickson;PRE POLL;24
Dickson;PROVISIONAL;0
Fadden;Alberton;5
Fadden;Brisbane City (Fadden);5
Fadden;Canowindra;13
Fadden;Capalaba School (Fadden);12
Fadden;Carbrook;35
Fadden;Chatswood Hills;72
Fadden;Coombabah (Fadden);50
Fadden;Coomera (Fadden);18
Fadden;Dupre St;8
Fadden;Eagleby;106
Fadden;Eight Mile Plains (Fadden);75
Fadden;Greenmeadows (Fadden);20
Fadden;Helensvale;106
Fadden;Hope Island;20
Fadden;Jacobs Well;10
Fadden;Kimberley Park;25
Fadden;Mansfield;101
Fadden;Mt Cotton;14
Fadden;Mt Gravatt East (Fadden);57
Fadden;Mt Gravatt South;47
Fadden;Mt Petrie;19
Fadden;Paradise Lakes;33
Fadden;Paradise Point (Fadden);24
Fadden;Redland Bay;61
Fadden;Rochedale;33
Fadden;Rochedale South;73
Fadden;Runaway Bay (Fadden);21
Fadden;Shailer Park (Fadden);121
Fadden;Slacks Creek (Fadden);71
Fadden;Special Hospital Team 1;20
Fadden;Special Hospital Team 2;7
Fadden;Springwood Central;69
Fadden;Springwood Road;99
Fadden;Upper Mt Gravatt (Fadden);163
Fadden;Woongoolba;28
Fadden;ABSENT;176
Fadden;POSTAL;34
Fadden;PRE POLL;48
Fadden;PROVISIONAL;2
Fairfax;Bli Bli;50
Fairfax;Boreen Point;5
Fairfax;Brisbane City (Fairfax);5
Fairfax;Buddina (Fairfax);8
Fairfax;Buderim;118
Fairfax;Buderim Garden Village;28
Fairfax;Burnside;40
Fairfax;Coolum;104
Fairfax;Cooran;5
Fairfax;Cooroy;52
Fairfax;Cotton Tree;50
Fairfax;Didillibah;8
Fairfax;Eudlo;18
Fairfax;Eumundi;47
Fairfax;Federal;2
Fairfax;Forest Glen;8
Fairfax;Kenilworth;16
Fairfax;Kin Kin;12
Fairfax;Kuluin;23
Fairfax;Kureelpa;3
Fairfax;Mapleton;19
Fairfax;Maroochydore;52
Fairfax;Maroochydore East;86
Fairfax;Montville;13
Fairfax;Mooloolaba;160
Fairfax;Mountain Creek;30
Fairfax;Mudjimba Beach;60
Fairfax;Nambour;49
Fairfax;Nambour Hospital;58
Fairfax;Nambour South;33
Fairfax;Noosa Heads;67
Fairfax;Noosaville;76
Fairfax;North Arm;6
Fairfax;Palmwoods;42
Fairfax;Peregian Beach;26
Fairfax;Pomona;36
Fairfax;Special Hospital Team 1;8
Fairfax;Special Hospital Team 2;4
Fairfax;Tewantin;146
Fairfax;Woombye;42
Fairfax;Yandina;57
Fairfax;ABSENT;82
Fairfax;POSTAL;33
Fairfax;PRE POLL;62
Fairfax;PROVISIONAL;1
Fisher;Banksia Beach;29
Fisher;Beachmere;38
Fisher;Beerburrum;13
Fisher;Beerwah;24
Fisher;Bellara;71
Fisher;Blackbutt;32
Fisher;Bongaree;55
Fisher;Brisbane City (Fisher);1
Fisher;Buddina (Fisher);88
Fisher;Caboolture;109
Fisher;Caboolture East;43
Fisher;Caboolture West;55
Fisher;Caloundra;78
Fisher;Caloundra West;0
Fisher;Conondale;13
Fisher;Cooyar;6
Fisher;Currimundi;107
Fisher;Donnybrook;8
Fisher;Elimbah;7
Fisher;Glasshouse Mountains;30
Fisher;Glenview;13
Fisher;Golden Beach;75
Fisher;Jimna;3
Fisher;Kawana Waters;65
Fisher;Kilcoy;34
Fisher;Landsborough;36
Fisher;Little Mountain;3
Fisher;Maidenwell;4
Fisher;Maleny;41
Fisher;Mooloolah;19
Fisher;Moore;5
Fisher;Morayfield (Fisher);53
Fisher;Mount Kilcoy;5
Fisher;Mount Mee;2
Fisher;Nanango;70
Fisher;Ningi;30
Fisher;Peachester;8
Fisher;Shelly Beach;24
Fisher;Somerset Dam;2
Fisher;Special Hospital Team 1;9
Fisher;Special Hospital Team 2;6
Fisher;Special Hospital Team 3;4
Fisher;Special Hospital Team 4;5
Fisher;Toogoolawah;46
Fisher;Toorbul;14
Fisher;Upper Caboolture;21
Fisher;Wamuran;20
Fisher;Woodford;45
Fisher;Woorim;17
