Division;Polling Place;ALP TPP Vote;ALP TPP Pc;ALP Swing;Coalition TPP Vote;Coalition Party;TPP Exhausted;Informal Vote
Bradfield;Mimosa;570;25.71;1.06;1647;LP;0;80
Bradfield;Pymble;369;22.67;4.71;1259;LP;0;39
Bradfield;Pymble North;457;24.04;2.78;1444;LP;0;40
Bradfield;Pymble West;526;28.89;2.99;1295;LP;0;58
Bradfield;Roseville;403;29.50;7.62;963;LP;0;33
Bradfield;Roseville Chase;246;28.21;2.15;626;LP;0;36
Bradfield;Roseville East;233;28.84;2.26;575;LP;0;18
Bradfield;Roseville South (Bradfield);228;35.35;1.47;417;LP;0;35
Bradfield;Special Hospital Team 1;28;10.53;-4.43;238;LP;0;7
Bradfield;Special Hospital Team 2;7;3.37;-2.66;201;LP;0;3
Bradfield;Special Hospital Team 3;20;17.70;2.31;93;LP;0;6
Bradfield;Special Hospital Team 4;19;10.98;-3.38;154;LP;0;2
Bradfield;Special Hospital Team 5;17;11.49;-0.24;131;LP;0;5
Bradfield;St Ives;301;21.62;2.96;1091;LP;0;44
Bradfield;St Ives Chase;152;21.26;0.86;563;LP;0;27
Bradfield;St Ives North;524;21.96;-0.43;1862;LP;0;76
Bradfield;St Ives Park;342;21.58;1.28;1243;LP;0;57
Bradfield;St Ives South;578;24.01;3.14;1829;LP;0;81
Bradfield;Sydney (Bradfield);37;37.37;4.65;62;LP;0;2
Bradfield;Turramurra;96;14.01;1.37;589;LP;0;31
Bradfield;Turramurra Central;368;26.25;5.00;1034;LP;0;44
Bradfield;Turramurra North;530;24.44;0.74;1639;LP;0;67
Bradfield;Turramurra South (Bradfield);642;33.37;1.60;1282;LP;0;51
Bradfield;Wahroonga;505;20.15;0.41;2001;LP;0;74
Bradfield;Wahroonga East;406;26.64;4.20;1118;LP;0;45
Bradfield;Warrawee (Bradfield);319;26.90;3.56;867;LP;0;45
Bradfield;ABSENT;1652;25.94;;4716;LP;0;137
Bradfield;POSTAL;871;22.31;;3033;LP;0;44
Bradfield;PRE POLL;2026;30.42;;4634;LP;0;175
Bradfield;PROVISIONAL;90;37.04;;153;LP;0;14
Calare;Barry;23;23.71;;74;NP;0;2
Calare;Bathurst;1224;51.43;;1156;NP;0;67
Calare;Bathurst Central;440;51.89;;408;NP;0;31
Calare;Bathurst City;660;51.68;;617;NP;0;54
Calare;Bathurst High;603;50.33;;595;NP;0;34
Calare;Bathurst Hospital;405;53.78;;348;NP;0;26
Calare;Bathurst South;612;53.03;;542;NP;0;34
Calare;Bathurst St Vincents;191;60.06;;127;NP;0;12
Calare;Bathurst West;958;47.97;;1039;NP;0;61
Calare;Black Springs;83;34.73;;156;NP;0;7
Calare;Blayney;691;42.92;;919;NP;0;49
Calare;Bletchington;961;42.43;;1304;NP;0;70
Calare;Bloomfield Hospital;65;43.33;;85;NP;0;4
Calare;Borenore;68;27.98;;175;NP;0;4
Calare;Bowen;987;45.61;;1177;NP;0;88
Calare;Bowenfels South;77;47.24;;86;NP;0;4
Calare;Burraga;29;37.66;;48;NP;0;3
Calare;Bylong;22;29.73;;52;NP;0;2
Calare;Calare School;538;36.75;;926;NP;0;49
Calare;Canobolas;38;29.46;;91;NP;0;8
Calare;Canowindra;414;34.30;;793;NP;0;58
Calare;Capertee;67;46.21;;78;NP;0;7
Calare;Carcoar;106;53.81;;91;NP;0;10
Calare;Cargo;114;44.53;;142;NP;0;12
Calare;Cooerwull;1165;65.86;;604;NP;0;43
Calare;Cudal;130;27.90;;336;NP;0;15
Calare;Cullen Bullen;100;73.53;;36;NP;0;9
Calare;Cumnock;78;26.62;;215;NP;0;11
Calare;Eglinton;545;42.02;;752;NP;0;28
Calare;Errowanbang;13;22.81;;44;NP;0;1
Calare;Euchareena;24;21.05;;90;NP;0;2
Calare;Eugowra;143;30.36;;328;NP;0;17
Calare;Glen Alice;12;18.75;;52;NP;0;1
Calare;Glenroi;1033;59.37;;707;NP;0;89
Calare;Hampton;51;40.48;;75;NP;0;4
Calare;Hartley;99;38.52;;158;NP;0;11
Calare;Hermitage;357;70.28;;151;NP;0;23
Calare;Hill End;41;45.05;;50;NP;0;4
Calare;Ilford;52;29.21;;126;NP;0;5
Calare;Jenolan Caves;9;32.14;;19;NP;0;0
Calare;Kandos;583;60.98;;373;NP;0;55
Calare;Kelso;1110;47.11;;1246;NP;0;74
Calare;Kirkconnell;74;51.03;;71;NP;0;9
Calare;Lithgow;1038;65.04;;558;NP;0;76
Calare;Lithgow Hospital;59;61.46;;37;NP;0;6
Calare;Littleton;310;67.54;;149;NP;0;21
Calare;Lucknow;93;35.09;;172;NP;0;6
Calare;Lyndhurst;75;34.40;;143;NP;0;10
Calare;Mandurama;76;36.89;;130;NP;0;8
Calare;Manildra;207;39.96;;311;NP;0;19
Calare;March;63;30.29;;145;NP;0;1
Calare;Meadow Flat;71;44.10;;90;NP;0;1
Calare;Millthorpe;227;35.64;;410;NP;0;25
Calare;Mitchell Campus;56;75.68;;18;NP;0;1
Calare;Molong;411;35.52;;746;NP;0;50
Calare;Morts Estate;290;70.05;;124;NP;0;9
Calare;Mullion Creek;74;28.57;;185;NP;0;8
Calare;Mumbil;63;37.06;;107;NP;0;7
Calare;Nashdale;68;25.56;;198;NP;0;4
Calare;Neurea;14;17.95;;64;NP;0;0
Calare;Neville;27;23.48;;88;NP;0;2
Calare;Newbridge;51;36.69;;88;NP;0;4
Calare;O'Connell;78;32.23;;164;NP;0;4
Calare;Oakey Park;168;75.68;;54;NP;0;9
Calare;Oberon;677;38.84;;1066;NP;0;64
Calare;Orange;852;40.46;;1254;NP;0;118
Calare;Orange East;635;48.07;;686;NP;0;67
Calare;Orange Hospital;140;39.33;;216;NP;0;18
Calare;Orange North;286;39.94;;430;NP;0;29
Calare;Orange South;542;39.19;;841;NP;0;41
Calare;Orange West;1094;34.60;;2068;NP;0;99
Calare;Peel;38;37.62;;63;NP;0;2
Calare;Perthville;123;29.36;;296;NP;0;16
Calare;Portland;773;71.24;;312;NP;0;49
Calare;Prison Mobile Team 1;0;0.00;;0;NP;0;0
Calare;Raglan;305;49.11;;316;NP;0;21
Calare;Rockley;62;27.43;;164;NP;0;10
Calare;Rydal;24;27.59;;63;NP;0;3
Calare;Rylstone;322;43.51;;418;NP;0;32
Calare;Sofala;38;36.54;;66;NP;0;7
Calare;Special Hospital Team 1;67;30.45;;153;NP;0;14
Calare;Special Hospital Team 2;43;41.75;;60;NP;0;8
Calare;Special Hospital Team 3;10;31.25;;22;NP;0;5
Calare;Special Hospital Team 4;5;14.71;;29;NP;0;4
Calare;Special Hospital Team 5;25;58.14;;18;NP;0;4
Calare;Special Hospital Team 6;20;71.43;;8;NP;0;1
Calare;Special Hospital Team 7;10;47.62;;11;NP;0;0
Calare;Spring Hill;57;30.65;;129;NP;0;6
Calare;Spring Terrace;55;26.07;;156;NP;0;4
Calare;Stuart Town;105;43.93;;134;NP;0;15
Calare;Sydney (Calare);19;50.00;;19;NP;0;1
Calare;Tarana;28;35.90;;50;NP;0;0
Calare;The Lagoon;34;31.78;;73;NP;0;1
Calare;Towri Aboriginal Centre;69;46.31;;80;NP;0;3
Calare;Trunkey Creek;27;23.48;;88;NP;0;5
Calare;Tweed Mills;587;73.19;;215;NP;0;41
Calare;Vale Of Clwydd;308;68.44;;142;NP;0;25
Calare;Wallerawang;673;63.85;;381;NP;0;39
Calare;Wattle Flat;63;52.94;;56;NP;0;4
Calare;Yeoval;137;28.02;;352;NP;0;15
Calare;ABSENT;2373;46.94;;2682;NP;0;195
Calare;POSTAL;1893;50.86;;1829;NP;0;43
Calare;PRE POLL;2552;46.44;;2943;NP;0;133
Calare;PROVISIONAL;483;53.97;;412;NP;0;38
Charlton;Ambleside;158;44.38;-4.78;198;LP;0;7
Charlton;Arcadia Vale;490;67.03;6.53;241;LP;0;15
Charlton;Argenton;645;79.14;6.92;170;LP;0;22
Charlton;Awaba;179;82.87;22.28;37;LP;0;9
Charlton;Barnsley;697;72.91;3.20;259;LP;0;34
Charlton;Blackalls;1020;75.44;4.11;332;LP;0;39
Charlton;Bolton Point;381;60.96;1.53;244;LP;0;31
Charlton;Bonnells Bay;1302;56.17;2.32;1016;LP;0;80
Charlton;Booragul;874;69.98;1.43;375;LP;0;34
Charlton;Booragul Homes;71;62.28;5.14;43;LP;0;1
Charlton;Cardiff;1424;62.68;3.13;848;LP;0;71
Charlton;Cardiff East;588;74.24;8.59;204;LP;0;32
Charlton;Cardiff Heights;690;51.15;3.79;659;LP;0;25
Charlton;Cardiff North;794;62.23;3.94;482;LP;0;49
Charlton;Cardiff South;1129;72.79;5.94;422;LP;0;39
Charlton;Carey Bay;358;46.98;1.68;404;LP;0;23
Charlton;Coal Point;332;39.81;-0.80;502;LP;0;19
Charlton;Cooranbong;359;48.64;4.18;379;LP;0;23
Charlton;Dora Creek;648;61.71;7.99;402;LP;0;24
Charlton;Edgeworth;2341;71.03;2.26;955;LP;0;131
Charlton;Elermore Vale;1222;64.97;4.05;659;LP;0;68
Charlton;Fassifern;397;70.77;8.87;164;LP;0;14
Charlton;Fennell Bay;725;65.85;-0.54;376;LP;0;33
Charlton;Garden Suburb (Charlton);630;58.66;0.79;444;LP;0;26
Charlton;Glendale;417;75.54;3.26;135;LP;0;15
Charlton;Glendale East;808;67.28;4.91;393;LP;0;27
Charlton;Hawkins Village;882;72.65;5.58;332;LP;0;31
Charlton;Hillsborough (Charlton);296;60.66;-0.95;192;LP;0;20
Charlton;Kilaben Bay;337;45.54;0.28;403;LP;0;10
Charlton;Killingworth;243;69.23;2.56;108;LP;0;9
Charlton;Martinsville;73;53.28;11.51;64;LP;0;5
Charlton;Maryland;1665;68.63;2.06;761;LP;0;57
Charlton;Morisset;853;58.59;7.50;603;LP;0;54
Charlton;Morisset Hospital;56;70.00;3.66;24;LP;0;3
Charlton;Mount Hutton (Charlton);186;60.19;15.75;123;LP;0;6
Charlton;New Lambton Heights;218;47.19;7.05;244;LP;0;10
Charlton;Pittown;423;71.21;8.11;171;LP;0;12
Charlton;Plattsburg;1472;74.23;6.43;511;LP;0;78
Charlton;Rathmines;1171;56.33;2.16;908;LP;0;57
Charlton;Special Hospital Team 1;155;62.25;3.50;94;LP;0;9
Charlton;Special Hospital Team 2;89;63.12;6.06;52;LP;0;3
Charlton;Special Hospital Team 3;31;34.07;-2.83;60;LP;0;1
Charlton;Speers Point;1321;63.79;4.35;750;LP;0;69
Charlton;Speers Point East;625;54.30;;526;LP;0;29
Charlton;Sunshine;424;57.61;5.99;312;LP;0;25
Charlton;Sydney (Charlton);16;48.48;-8.27;17;LP;0;1
Charlton;Teralba;589;71.05;6.64;240;LP;0;27
Charlton;Toronto;347;63.67;8.27;198;LP;0;16
Charlton;Toronto North;562;59.28;-0.11;386;LP;0;41
Charlton;Toronto West;802;82.17;2.64;174;LP;0;35
Charlton;Wallsend;1607;69.48;4.24;706;LP;0;102
Charlton;Wallsend Hospital;368;70.23;7.12;156;LP;0;20
Charlton;Wallsend South;1524;56.99;3.33;1150;LP;0;76
Charlton;Wangi Wangi;1015;65.32;3.54;539;LP;0;51
Charlton;Warners Bay;1087;60.76;5.34;702;LP;0;59
Charlton;Warners Bay Central (Charlton);784;61.73;0.43;486;LP;0;40
Charlton;West Wallsend;1379;78.04;2.47;388;LP;0;69
Charlton;Whitegates;733;67.56;4.24;352;LP;0;37
Charlton;Woodrising;237;70.33;11.75;100;LP;0;7
Charlton;Wyee;550;53.09;3.35;486;LP;0;45
Charlton;Wyee Point;168;60.87;8.85;108;LP;0;12
Charlton;ABSENT;3706;62.49;;2225;LP;0;245
Charlton;POSTAL;1782;57.88;;1297;LP;0;39
Charlton;PRE POLL;3607;52.56;;3255;LP;0;176
Charlton;PROVISIONAL;508;72.88;;189;LP;0;36
Chifley;Bennett Road;2418;65.42;6.53;1278;LP;0;253
Chifley;Bidwill;1586;81.17;6.54;368;LP;0;130
Chifley;Blackett;1398;80.25;6.11;344;LP;0;124
Chifley;Blacktown West (Chifley);358;67.55;10.49;172;LP;0;48
Chifley;Clairgate;1239;58.86;5.48;866;LP;0;114
Chifley;Dharruk;1144;77.98;6.18;323;LP;0;82
