2004 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [12246 8/11/2005 11:09:18 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8780,Mawson,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1652,1.36
ACT,101,Canberra,8781,Monash,15166,BARNIER,Belinda,2,,LP,Liberal,1184,0.95
ACT,101,Canberra,8781,Monash,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1750,-0.95
ACT,101,Canberra,8783,Oaks Estate,15166,BARNIER,Belinda,2,,LP,Liberal,54,-1.38
ACT,101,Canberra,8783,Oaks Estate,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),88,1.38
ACT,101,Canberra,8784,Pearce,15166,BARNIER,Belinda,2,,LP,Liberal,888,-5.04
ACT,101,Canberra,8784,Pearce,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1528,5.04
ACT,101,Canberra,8785,Red Hill,15166,BARNIER,Belinda,2,,LP,Liberal,853,0.81
ACT,101,Canberra,8785,Red Hill,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),912,-0.81
ACT,101,Canberra,8786,Richardson,15166,BARNIER,Belinda,2,,LP,Liberal,687,-0.18
ACT,101,Canberra,8786,Richardson,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1011,0.18
ACT,101,Canberra,8787,Rivett,15166,BARNIER,Belinda,2,,LP,Liberal,597,-3.5
ACT,101,Canberra,8787,Rivett,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1132,3.5
ACT,101,Canberra,32712,Special Hospital Team 1,15166,BARNIER,Belinda,2,,LP,Liberal,172,3.11
ACT,101,Canberra,32712,Special Hospital Team 1,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),98,-3.11
ACT,101,Canberra,32713,Special Hospital Team 2,15166,BARNIER,Belinda,2,,LP,Liberal,205,-6.6
ACT,101,Canberra,32713,Special Hospital Team 2,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),173,6.6
ACT,101,Canberra,8788,Tharwa,15166,BARNIER,Belinda,2,,LP,Liberal,65,3.69
ACT,101,Canberra,8788,Tharwa,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),66,-3.69
ACT,101,Canberra,11878,Theodore,15166,BARNIER,Belinda,2,,LP,Liberal,685,5.45
ACT,101,Canberra,11878,Theodore,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),858,-5.45
ACT,101,Canberra,8790,Wanniassa,15166,BARNIER,Belinda,2,,LP,Liberal,983,-0.82
ACT,101,Canberra,8790,Wanniassa,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1718,0.82
ACT,101,Canberra,8791,Wanniassa Hills,15166,BARNIER,Belinda,2,,LP,Liberal,1058,-0.96
ACT,101,Canberra,8791,Wanniassa Hills,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1599,0.96
ACT,101,Canberra,8792,Waramanga,15166,BARNIER,Belinda,2,,LP,Liberal,1188,0.28
ACT,101,Canberra,8792,Waramanga,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),2017,-0.28
ACT,101,Canberra,8793,Weston,15166,BARNIER,Belinda,2,,LP,Liberal,660,-1.71
ACT,101,Canberra,8793,Weston,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1116,1.71
ACT,101,Canberra,8840,Yarralumla,15166,BARNIER,Belinda,2,,LP,Liberal,637,0.77
ACT,101,Canberra,8840,Yarralumla,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1015,-0.77
ACT,102,Fraser,8802,Ainslie,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1342,-1.48
ACT,102,Fraser,8802,Ainslie,15143,GILES,Adam,3,,LP,Liberal,555,1.48
ACT,102,Fraser,8801,Ainslie North,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1620,4.1
ACT,102,Fraser,8801,Ainslie North,15143,GILES,Adam,3,,LP,Liberal,493,-4.1
ACT,102,Fraser,38197,Amaroo,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),923,-9.15
ACT,102,Fraser,38197,Amaroo,15143,GILES,Adam,3,,LP,Liberal,1046,9.15
ACT,102,Fraser,8803,Aranda,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1968,3.25
ACT,102,Fraser,8803,Aranda,15143,GILES,Adam,3,,LP,Liberal,721,-3.25
ACT,102,Fraser,8804,Baker Gardens,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),571,1.24
ACT,102,Fraser,8804,Baker Gardens,15143,GILES,Adam,3,,LP,Liberal,177,-1.24
ACT,102,Fraser,8829,Barton,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),841,-0.37
ACT,102,Fraser,8829,Barton,15143,GILES,Adam,3,,LP,Liberal,579,0.37
ACT,102,Fraser,8805,Belconnen,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1748,3.97
ACT,102,Fraser,8805,Belconnen,15143,GILES,Adam,3,,LP,Liberal,823,-3.97
ACT,102,Fraser,12073,Bruce,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),284,-1.94
ACT,102,Fraser,12073,Bruce,15143,GILES,Adam,3,,LP,Liberal,227,1.94
ACT,102,Fraser,8806,Campbell,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1126,-5.08
ACT,102,Fraser,8806,Campbell,15143,GILES,Adam,3,,LP,Liberal,1281,5.08
ACT,102,Fraser,8807,Charnwood,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1992,-1.36
ACT,102,Fraser,8807,Charnwood,15143,GILES,Adam,3,,LP,Liberal,1289,1.36
ACT,102,Fraser,8808,City,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),882,2.08
ACT,102,Fraser,8808,City,15143,GILES,Adam,3,,LP,Liberal,384,-2.08
ACT,102,Fraser,8809,Dickson,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1091,-0.67
ACT,102,Fraser,8809,Dickson,15143,GILES,Adam,3,,LP,Liberal,472,0.67
ACT,102,Fraser,8810,Downer,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),925,1.82
ACT,102,Fraser,8810,Downer,15143,GILES,Adam,3,,LP,Liberal,358,-1.82
ACT,102,Fraser,8812,Evatt,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1867,-0.44
ACT,102,Fraser,8812,Evatt,15143,GILES,Adam,3,,LP,Liberal,1189,0.44
ACT,102,Fraser,8813,Evatt South,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),886,2.99
ACT,102,Fraser,8813,Evatt South,15143,GILES,Adam,3,,LP,Liberal,520,-2.99
ACT,102,Fraser,8814,Florey,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1326,-1.37
ACT,102,Fraser,8814,Florey,15143,GILES,Adam,3,,LP,Liberal,790,1.37
ACT,102,Fraser,8815,Flynn,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1090,0.3
ACT,102,Fraser,8815,Flynn,15143,GILES,Adam,3,,LP,Liberal,608,-0.3
ACT,102,Fraser,34238,Fraser,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1236,0.65
ACT,102,Fraser,34238,Fraser,15143,GILES,Adam,3,,LP,Liberal,848,-0.65
ACT,102,Fraser,8816,Giralang,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1266,3.49
ACT,102,Fraser,8816,Giralang,15143,GILES,Adam,3,,LP,Liberal,695,-3.49
ACT,102,Fraser,8817,Griffith,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1244,0.09
ACT,102,Fraser,8817,Griffith,15143,GILES,Adam,3,,LP,Liberal,690,-0.09
ACT,102,Fraser,34240,Gungahlin,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),747,0.5
ACT,102,Fraser,34240,Gungahlin,15143,GILES,Adam,3,,LP,Liberal,691,-0.5
ACT,102,Fraser,8819,Hall,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),132,-1.22
ACT,102,Fraser,8819,Hall,15143,GILES,Adam,3,,LP,Liberal,155,1.22
ACT,102,Fraser,8820,Higgins,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1321,3.41
