Firm,Day,GRN FP,GRN FP adj
Ipsos,944,14.0,11.797280567069965
Essential,944,10.0,10.80356800822044
Morgan multi-mode,942,14.0,11.469363455245894
Newspoll2,945,11.0,11.125868078903027
Morgan multi-mode,956,13.5,10.969363455245894
Essential,958,10.0,10.80356800822044
ReachTEL,964,9.5,9.838445964761291
Galaxy,964,11.0,10.661642476839795
Ipsos,965,14.0,11.797280567069965
Newspoll2,966,11.0,11.125868078903027
Lonergan,966,12.0,11.740941617516004
Essential,972,9.0,9.80356800822044
Morgan multi-mode,974,15.5,12.969363455245894
Ipsos,977,14.0,11.797280567069965
ReachTEL,978,9.9,10.238445964761292
Newspoll2,980,11.0,11.125868078903027
ReachTEL,985,9.6,9.938445964761291
Essential,986,10.0,10.80356800822044
Morgan multi-mode,984,13.0,10.469363455245894
Ipsos,991,13.0,10.797280567069965
ReachTEL,992,10.1,10.438445964761291
Newspoll2,994,10.0,10.125868078903027
ReachTEL,999,9.9,10.238445964761292
Essential,1000,10.0,10.80356800822044
Ipsos,1005,14.0,11.797280567069965
ReachTEL,1006,9.1,9.438445964761291
Newspoll2,1008,10.0,10.125868078903027
Galaxy,1014,11.0,10.661642476839795
ReachTEL,1013,10.5,10.838445964761291
Newspoll2,1015,9.0,9.125868078903027
Ipsos,1018,13.0,10.797280567069965
Galaxy,1019,10.0,9.661642476839795
Essential,1019,11.5,12.30356800822044
ReachTEL,1020,10.7,11.03844596476129
Newspoll2,1020,10.0,10.125868078903027
