Firm,Day,ALP TPP,ALP TPP adj
Essential,350,52.010934823358205,52.30238351329866
ReachTEL,353,51.97323014128282,51.93844561365701
Newspoll2,362,52.84943486327065,52.72922792619864
YouGov,363,51.77814641675966,51.85054710686387
Essential,364,53.68458051865928,53.97602920859973
ReachTEL,373,50.86569092360773,50.83090639598192
Newspoll2,376,52.682250938282074,52.56204400121006
YouGov,376,51.05165093828208,51.12405162838629
Essential,378,51.5890910450023,51.88053973494275
Newspoll2,390,52.90110535339603,52.780898416324014
YouGov,390,51.78360535339603,51.85600604350024
Essential,392,53.277528829602026,53.56897751954248
Newspoll2,404,53.682450119629394,53.56224318255738
YouGov,404,51.8918501196294,51.96425080973361
Essential,406,51.09675753006314,51.38820622000359
ReachTEL,408,53.64120769338243,53.60642316575662
Essential,414,53.08152749249518,53.37297618243563
Newspoll2,416,52.769369160276625,52.64916222320461
YouGov,418,52.11026340209261,52.18266409219682
Ipsos,424,53.33562162116715,53.19034779409356
Essential,428,51.61140012952648,51.90284881946693
YouGov,432,53.305906717091524,53.378307407195734
Essential,435,51.589228154282644,51.880676844223096
Newspoll2,439,53.26201418107237,53.141807244000354
Essential,442,54.17676748755036,54.46821617749081
ReachTEL,447,53.262179998919606,53.2273954712938
Essential,456,51.777073840083084,52.068522530023536
Newspoll2,460,53.00847091515187,52.888263978079856
Essential,470,52.684036755820884,52.975485445761336
Newspoll2,474,53.501874601026294,53.38166766395428
Essential,484,53.26234362437227,53.55379231431272
Newspoll2,490,54.102590375309035,53.98238343823702
YouGov,491,54.62396688618414,54.69636757628835
Essential,498,53.27756277940611,53.56901146934656
YouGov,502,52.78936671436691,52.861767404471124
ReachTEL,506,53.979020446232425,53.944235918606616
Ipsos,509,53.08953948856951,52.94426566149592
Newspoll2,509,53.08133948856951,52.9611325514975
YouGov,516,53.87103590895242,53.94343659905663
Essential,519,52.85724655666779,53.14869524660824
Newspoll2,523,53.15428221809308,53.03407528102107
Essential,551,52.93728285243755,53.228731542378
ReachTEL,563,53.559211820641764,53.524427293015954
Essential,565,53.08919415695778,53.38064284689823
Newspoll2,571,52.31446384081211,52.1942569037401
Essential,579,53.256884967869354,53.548333657809806
Newspoll2,586,53.081739409277425,52.96153247220541
ReachTEL,593,54.95807899185209,54.92329446422628
Essential,593,52.57367899185209,52.86512768179254
Newspoll2,600,52.84193381220178,52.72172687512977
Morgan multi-mode,604,54.08019805647848,54.16052663678006
Essential,607,53.77648037667527,54.067929066615726
Morgan multi-mode,618,51.076817971243926,51.15714655154551
Newspoll2,621,53.349846108642794,53.22963917157078
Essential,621,51.277346108642796,51.56879479858325
ReachTEL,625,53.63182416681532,53.59703963918951
Morgan multi-mode,625,52.793724166815316,52.8740527471169
Ipsos,632,52.213067507839504,52.06779368076592
Newspoll2,635,52.168991348253414,52.0487844111814
Essential,635,52.676491348253414,52.967940038193866
Newspoll2,649,51.84216848142365,51.721961544351636
Essential,649,52.408468481423654,52.699917171364106
ReachTEL,658,52.53771338779825,52.50292886017244
Essential,663,51.763753501732126,52.05520219167258
Ipsos,669,53.62577970564904,53.48050587857545
Newspoll2,670,51.929309352214936,51.809102415142924
Essential,670,51.18370935221493,51.475158042155385
Essential,677,51.096374234779624,51.387822924720076
Newspoll2,684,52.27671936540669,52.15651242833468
Essential,691,53.096391516547925,53.38784020648838
ReachTEL,690,52.305880690464555,52.271096162838745
Essential,705,51.495603265240256,51.78705195518071
Newspoll2,705,52.74870326524026,52.62849632816825
Ipsos,712,53.35801701586229,53.2127431887887
Newspoll2,719,51.422449069043644,51.30224213197163
Essential,719,51.59124906904365,51.8826977589841
Newspoll2,733,51.66150737648586,51.541300439413845
Essential,733,50.264007376485864,50.555456066426316
Ipsos,739,50.81957299384373,50.67429916677014
Newspoll2,747,51.169333731932646,51.04912679486063
Essential,747,50.26433373193265,50.555782421873104
ReachTEL,752,51.22804115171394,51.19325662408813
Newspoll2,761,51.500873757311,51.380666820238986
Essential,761,51.755873757311,52.04732244725145
Ipsos,767,54.524103583111284,54.378829756037696
Newspoll2,775,56.60888545458088,56.488678517508866
Essential,775,54.62388545458088,54.91533414452133
Morgan multi-mode,776,53.65474150152843,53.73507008183001
Newspoll2,789,56.697231702835396,56.57702476576338
Essential,789,53.04473170283539,53.336180392775844
Ipsos,795,52.67676908607763,52.53149525900404
Newspoll2,803,54.18978299177979,54.06957605470778
Essential,803,52.90858299177979,53.20003168172024
Essential,817,53.60135211995434,53.892800809894794
Ipsos,823,54.356414841530196,54.21114101445661
Newspoll2,823,53.513814841530206,53.39360790445819
Essential,831,52.113355294082034,52.404803984022486
Newspoll2,838,53.857007073270246,53.736800136198234
Essential,845,54.18536813197598,54.47681682191643
Newspoll2,852,54.858348580270416,54.738141643198404
Ipsos,858,52.207826425398345,52.06255259832476
Essential,859,51.91694949943059,52.20839818937104
Newspoll2,866,55.20574102919595,55.085534092123936
Essential,873,53.20001546042518,53.49146415036563
Newspoll2,880,55.292433806576696,55.172226869504684
Ipsos,886,54.641963025010114,54.496689197936526
Essential,887,52.4238850864722,52.71533377641265
Essential,914,52.61877262958276,52.91022131952321
Newspoll2,929,52.8573006314503,52.73709369437829
Essential,930,51.60384156418948,51.89529025412993
Morgan multi-mode,941,54.433271146490526,54.51359972679211
Newspoll2,943,53.43569087564517,53.31548393857316
Essential,943,54.58759087564517,54.87903956558562
Ipsos,948,51.20603115555624,51.06075732848265
Newspoll2,957,53.434638350952376,53.314431413880364
Essential,957,52.27463835095237,52.566087040892825
ReachTEL,961,51.52945831592755,51.49467378830174
Newspoll2,971,53.78006733650512,53.65986039943311
Essential,971,52.45316733650512,52.74461602644557
Essential,985,51.10590667647063,51.397355366411084
Galaxy,989,52.945600000000006,52.717985550811
Morgan multi-mode,993,54.64671552445248,54.727044104754064
Ipsos,998,52.2008228099434,52.055548982869816
Newspoll2,999,51.85120942834196,51.73100249126995
Morgan multi-mode,1000,52.97895,53.05927858030158
Essential,999,51.07000942834196,51.361458118282414
Newspoll2,1006,52.517564381049475,52.39735744397746
Morgan multi-mode,1014,50.892450000000004,50.972778580301586
Galaxy,1017,52.4659,52.23828555081099
Newspoll2,1020,51.9506,51.83039306292799
Morgan multi-mode,1021,51.04495,51.12527858030158
Essential,1020,51.33808188141894,51.62953057135939
Ipsos,1026,51.528200000000005,51.38292617292642
Newspoll2,1027,51.3934,51.27319306292799
Morgan multi-mode,1028,50.86985,50.95017858030158
Essential,1027,51.220743214131964,51.51219190407242
Newspoll2,1034,51.4809,51.360693062927986
Morgan multi-mode,1034,51.3042,51.384528580301584
Essential,1035,51.173808085445884,51.46525677538634
Ipsos,1037,50.7813,50.636026172926414
Galaxy,1037,51.5762,51.348585550810995
Newspoll2,1039,51.553399999999996,51.433193062927984
