Firm,Day,UAP FP,UAP FP adj
ReachTEL,716,1.3,1.006
Morgan multi-mode,726,1.0,1.332
Essential,729,2.0,2.343
Morgan multi-mode,733,1.5,1.832
ReachTEL,735,0.8,0.506
Galaxy,736,2.0,1.716
Morgan multi-mode,740,1.5,1.832
Essential,739,1.0,1.343
Essential,749,1.0,1.343
Morgan multi-mode,751,1.5,1.832
Essential,763,1.0,1.343
Morgan multi-mode,764,0.5,0.832
ReachTEL,772,0.9,0.606
Essential,777,1.0,1.343
Morgan multi-mode,778,1.0,1.332
Essential,791,1.0,1.307
Morgan multi-mode,792,1.0,1.347
Essential,805,1.0,1.244
ReachTEL,807,1.0,0.796
Morgan multi-mode,806,1.0,1.373
Essential,819,1.0,1.182
Morgan multi-mode,820,1.0,1.4
Morgan multi-mode,848,1.0,1.453
Essential,859,2.0,2.003
ReachTEL,863,0.8,0.806
Morgan multi-mode,862,0.5,0.979
Essential,863,1.0,0.985
Essential,875,1.0,0.931
ReachTEL,884,0.7,0.781
Morgan multi-mode,890,1.0,1.532
Essential,889,1.0,0.868
Morgan multi-mode,905,0.5,1.059
Essential,903,2.0,1.806
Morgan multi-mode,918,0.0,0.559
Essential,917,1.0,0.806
Essential,931,1.0,0.806
Morgan multi-mode,932,0.0,0.559
Essential,945,1.0,0.806
Morgan multi-mode,946,0.0,0.559
Essential,959,1.0,0.806
Morgan multi-mode,960,0.0,0.559
Morgan multi-mode,978,0.0,0.559
Morgan multi-mode,988,0.0,0.559
Newspoll2,998,1.0,1.047
