Firm,Day,ONP FP,ONP FP adj
Newspoll2,1006,4.0,3.745
Morgan multi-mode,1014,4.5,5.605
Galaxy,1017,4.0,3.595
Newspoll2,1020,4.0,3.745
Morgan multi-mode,1021,2.5,3.605
Essential,1020,6.0,4.732
Ipsos,1026,5.0,4.963
Newspoll2,1027,5.0,4.745
Morgan multi-mode,1028,4.0,5.105
Essential,1027,7.0,5.732
Newspoll2,1034,4.0,3.745
Morgan multi-mode,1034,4.0,5.105
Essential,1035,6.6,5.332
Ipsos,1037,4.0,3.963
Galaxy,1037,3.0,2.595
Newspoll2,1039,3.0,2.745
