Firm,Day,GRN FP,GRN FP adj
F2F Morgan,815,11.5,11.059
Essential,821,10.0,11.018
Newspoll,825,11.0,10.211
Morgan Phone,829,8.5,8.569
Galaxy,831,11.0,10.113
F2F Morgan,829,10.5,10.059
Newspoll,839,11.0,10.211
Nielsen,845,10.0,9.134
F2F Morgan,833,12.0,11.559
Essential,842,8.0,9.018
F2F Morgan,871,10.5,10.065
Newspoll,874,9.0,8.228
Essential,877,9.0,9.982
F2F Morgan,885,12.0,11.612
Essential,890,10.0,10.928
Galaxy,895,10.0,9.176
Newspoll,895,9.0,8.318
F2F Morgan,896,8.5,8.144
F2F Morgan,903,9.0,8.671
Essential,905,9.0,9.855
Nielsen,908,11.0,10.101
Newspoll,916,11.0,10.399
Essential,920,10.0,10.792
F2F Morgan,913,10.0,9.704
Morgan multi-mode,923,10.5,10.046
Galaxy,927,11.0,10.254
Newspoll,930,11.0,10.457
Morgan multi-mode,930,11.0,10.554
Essential,931,9.0,9.738
Nielsen,936,10.0,9.076
Morgan multi-mode,937,11.0,10.565
AMR,945,9.0,8.937
Morgan multi-mode,944,10.5,10.073
Galaxy,944,12.0,11.292
Newspoll,944,10.0,9.514
Essential,947,11.0,11.666
Morgan multi-mode,952,11.0,10.584
Morgan multi-mode,958,10.0,9.593
Newspoll,958,11.0,10.571
Essential,961,9.0,9.602
Galaxy,962,12.0,11.336
ReachTEL,964,10.2,10.095
Nielsen,964,12.0,11.052
Morgan multi-mode,965,10.5,10.104
Newspoll,972,10.0,9.628
Morgan multi-mode,972,10.5,10.112
Essential,975,9.0,9.539
Morgan multi-mode,979,11.0,10.623
ReachTEL,985,10.2,10.141
Morgan multi-mode,986,8.5,8.131
Newspoll,986,10.0,9.686
Essential,989,9.0,9.476
Morgan multi-mode,993,9.5,9.137
Galaxy,998,10.0,9.404
Nielsen,999,11.0,10.029
Morgan multi-mode,1000,10.0,9.637
Newspoll,1000,9.0,8.702
Essential,983,8.0,8.503
Morgan multi-mode,1007,9.5,9.137
Morgan multi-mode,1014,9.5,9.137
Newspoll,1014,9.0,8.702
Essential,1018,8.0,8.476
Morgan multi-mode,1022,9.5,9.137
Morgan Phone,1025,12.0,11.25
Galaxy,1025,11.0,10.404
Nielsen,1027,11.0,10.029
Morgan multi-mode,1028,9.0,8.637
Essential,1031,8.0,8.476
Morgan multi-mode,1035,9.0,8.637
Newspoll,1035,9.0,8.702
SMS Morgan,1039,8.5,8.452
ReachTEL,1040,8.7,8.649
Galaxy,1041,10.0,9.404
Morgan multi-mode,1042,8.5,8.137
Newspoll,1042,11.0,10.702
Essential,1045,8.0,8.476
Morgan multi-mode,1049,8.5,8.137
Newspoll,1049,9.0,8.702
AMR,1050,7.0,6.989
Nielsen,1055,9.0,8.029
Morgan multi-mode,1056,7.0,6.637
Essential,1059,7.0,7.476
ReachTEL,1062,8.3,8.249
Newspoll,1063,10.0,9.702
Morgan multi-mode,1063,9.0,8.637
Galaxy,1067,9.0,8.404
Morgan multi-mode,1070,10.5,10.137
Essential,1071,9.0,9.476
Newspoll,1077,9.0,8.702
Morgan multi-mode,1077,9.5,9.137
ReachTEL,1078,8.2,8.149
Nielsen,1081,10.0,9.029
Galaxy,1082,10.0,9.404
ReachTEL,1084,8.9,8.849
Morgan multi-mode,1084,10.5,10.137
Newspoll,1084,11.0,10.702
Essential,1087,8.0,8.476
Morgan Phone,1087,9.0,8.25
Galaxy,1089,10.0,9.404
AMR,1091,10.0,9.989
Morgan multi-mode,1091,9.5,9.137
Newspoll,1091,9.0,8.702
Lonergan,1091,12.0,10.592
Nielsen,1094,10.0,9.029
Morgan multi-mode,1079,11.0,10.637
Essential,1097,11.0,11.476
Newspoll,1098,9.0,8.702
ReachTEL,1101,10.1,10.049
Morgan multi-mode,1103,12.0,11.637
Essential,1104,10.0,10.476
Galaxy,1104,10.0,9.404
Newspoll,1105,10.0,9.702
Morgan multi-mode,1106,11.0,10.637
AMR,1106,10.0,9.989
ReachTEL,1108,9.7,9.649
Galaxy,1108,9.0,8.404
Essential,1108,10.0,10.476
Lonergan,1108,14.0,12.592
ReachTEL,1109,10.0,9.949
Newspoll,1109,9.0,8.702
Nielsen,1110,11.0,10.029
ReachTEL,1110,10.2,10.149
Morgan multi-mode,1110,9.5,9.137
