Firm,Day,ONP FP,ONP FP adj
Roy Morgan,709,nan,nan
Newspoll2,708,nan,nan
Ipsos,700,nan,nan
Essential,699,nan,nan
Roy Morgan,695,nan,nan
Newspoll2,695,nan,nan
Essential,692,nan,nan
ReachTel,692,nan,nan
Essential,685,nan,nan
ReachTel,685,nan,nan
Roy Morgan,681,nan,nan
Newspoll2,673,nan,nan
Essential,671,nan,nan
Roy Morgan,667,nan,nan
Newspoll2,660,nan,nan
Ipsos,658,nan,nan
Roy Morgan,653,nan,nan
Newspoll,641,nan,nan
Essential,641,nan,nan
Roy Morgan,639,nan,nan
Ipsos,637,nan,nan
Essential,637,nan,nan
Newspoll,627,nan,nan
Essential,627,nan,nan
Roy Morgan,621,nan,nan
Essential,620,nan,nan
Roy Morgan,612,nan,nan
Ipsos,611,nan,nan
Newspoll,611,nan,nan
ReachTel,607,nan,nan
Essential,603,nan,nan
Newspoll,598,nan,nan
Roy Morgan,598,nan,nan
Essential,592,nan,nan
Essential,585,nan,nan
Roy Morgan,579,nan,nan
Essential,578,nan,nan
Newspoll,575,nan,nan
Ipsos,574,nan,nan
Roy Morgan,566,nan,nan
ReachTEL,562,nan,nan
Newspoll,554,nan,nan
Roy Morgan,551,nan,nan
Essential,550,nan,nan
Essential,543,nan,nan
Newspoll,541,nan,nan
Roy Morgan,537,nan,nan
Ipsos,532,nan,nan
Essential,526,nan,nan
Newspoll,526,nan,nan
Newspoll,512,nan,nan
Roy Morgan,509,nan,nan
ReachTEL,510,nan,nan
Galaxy,510,nan,nan
Galaxy,503,nan,nan
ReachTEL,501,nan,nan
Essential,501,nan,nan
Essential,494,nan,nan
Essential,487,nan,nan
Roy Morgan,486,nan,nan
Roy Morgan,468,nan,nan
Essential,459,nan,nan
Newspoll,457,nan,nan
Roy Morgan,818,nan,nan
Ipsos,448,nan,nan
Galaxy,446,nan,nan
Essential,445,nan,nan
Newspoll,443,nan,nan
Roy Morgan,439,nan,nan
Essential,438,nan,nan
ReachTEL,434,nan,nan
Newspoll,431,nan,nan
Essential,430,nan,nan
Roy Morgan,430,nan,nan
Essential,424,nan,nan
Newspoll,417,nan,nan
Essential,417,nan,nan
Roy Morgan,411,nan,nan
Ipsos,413,nan,nan
Essential,410,nan,nan
ReachTEL,405,nan,nan
Essential,403,nan,nan
Newspoll,403,nan,nan
Roy Morgan,402,nan,nan
Essential,396,nan,nan
Essential,389,nan,nan
Roy Morgan,387,nan,nan
Galaxy,387,nan,nan
Newspoll,375,nan,nan
Roy Morgan,369,nan,nan
ReachTEL,370,nan,nan
Roy Morgan,355,nan,nan
Newspoll,358,nan,nan
Newspoll,344,nan,nan
Roy Morgan,341,nan,nan
Essential,340,nan,nan
Roy Morgan,331,nan,nan
Newspoll,330,nan,nan
Newspoll,316,nan,nan
Newspoll,302,nan,nan
Essential,291,nan,nan
Roy Morgan,290,nan,nan
Newspoll,288,nan,nan
Newspoll,274,nan,nan
Newspoll,290,nan,nan
Essential,256,nan,nan
Essential,249,nan,nan
Roy Morgan,247,nan,nan
Newspoll,246,nan,nan
Nielsen,245,nan,nan
Galaxy,233,nan,nan
Newspoll,232,nan,nan
Essential,229,nan,nan
Roy Morgan,221,nan,nan
Essential,214,nan,nan
Nielsen,212,nan,nan
Essential,207,nan,nan
Roy Morgan,206,nan,nan
Newspoll,204,nan,nan
Roy Morgan,193,nan,nan
Essential,193,nan,nan
Newspoll,190,nan,nan
Essential,186,nan,nan
Nielsen,182,nan,nan
Newspoll,176,nan,nan
Essential,173,nan,nan
Roy Morgan,163,nan,nan
Newspoll,162,nan,nan
Nielsen,155,nan,nan
Newspoll,148,nan,nan
Roy Morgan,137,nan,nan
ReachTEL,132,nan,nan
Essential,128,nan,nan
Roy Morgan,122,nan,nan
Roy Morgan,94,nan,nan
ReachTEL,93,nan,nan
Newspoll,85,nan,nan
Essential,78,nan,nan
Roy Morgan,79,nan,nan
Newspoll,71,nan,nan
Nielsen,70,nan,nan
Newspoll,57,nan,nan
Newspoll,43,nan,nan
Roy Morgan,37,nan,nan
Roy Morgan,9,nan,nan
Essential,8,nan,nan
Essential,1,nan,nan
