2013 Federal Election
Seat,Adelaide
fp
Seat,Canberra
fp
Gai Brodtmann,Labor,47613,41.06,-3.17
Tom Sefton,Liberal,43919,37.87,0.66
Julie Melrose,Greens,14691,12.67,-5.89
Damien Maher,Single issue,4756,4.1,4.1
Tony Hanley,United Australia,3725,3.21,3.21
Nicolle Burt,Centre-left,1264,1.09,1.09
tcp
Gai Brodtmann,Labor,66074,56.98,-2.17
Tom Sefton,Liberal,49894,43.02,2.17
Seat,Canning
fp
Don Randall,Liberal,45189,51.07,4.89
Joanne Dean,Labor,23578,26.64,-13.71
Damon Pages-Oliver,Greens,6547,7.4,-0.89
Wendy Lamotte,United Australia,6088,6.88,6.88
Derek Bruning,Christians,2742,3.1,3.1
James Forsyth,National,1707,1.93,1.93
Alice Harper,Christian,1197,1.35,-0.19
Richard Eldridge,Katter's Australian,776,0.88,0.88
Lee Rumble,Christian,669,0.76,0.76
tcp
Don Randall,Liberal,54700,61.81,9.62
Joanne Dean,Labor,33793,38.19,-9.62
Seat,Capricornia
fp
Michelle Landry,Liberal,33608,39.58,-0.84
Peter Freeleagus,Labor,31450,37.04,-8.73
Derek Ison,United Australia,6747,7.95,7.95
Robbie Williams,Katter's Australian,4708,5.54,5.54
Hazel Alley,Christian,3274,3.86,0.37
Paul Bambrick,Greens,2910,3.43,-2.09
Bruce Diamond,Independent,1777,2.09,2.09
Paul Lewis,Christian,439,0.52,0.52
tcp
Michelle Landry,Liberal,43109,50.77,4.45
Peter Freeleagus,Labor,41804,49.23,-4.45
Seat,Casey
fp
Tony Smith,Liberal,43538,49.18,3.06
Cathy Farrell,Labor,24651,27.85,-8.71
Steve Meacher,Greens,9641,10.89,-1.26
Milton Wilde,United Australia,4413,4.98,4.98
Gary Coombes,Christian,2370,2.68,-2.1
Jeanette McRae,Independent,1358,1.53,1.53
Mike Brown,Christians,1126,1.27,1.27
Jeffrey Leake,Country Alliance,986,1.11,1.11
Paul Barbieri,Christian,446,0.5,0.5
tcp
Tony Smith,Liberal,50615,57.17,5.31
Cathy Farrell,Labor,37914,42.83,-5.31
Seat,Charlton
fp
Pat Conroy,Labor,40125,46.44,-6.71
Kevin Baker,Liberal,24646,28.53,-2.18
Bronwyn Reid,United Australia,9412,10.89,10.89
Dessie Kocher,Greens,5820,6.74,-2.09
Steve Camilleri,Christian,2671,3.09,0.27
Brian Burston,One Nation,2266,2.62,2.62
Trevor Anthoney,Single issue,1460,1.69,1.69
tcp
Pat Conroy,Labor,51173,59.23,-3.44
Kevin Baker,Liberal,35227,40.77,3.44
Seat,Chifley
fp
Ed Husic,Labor,43044,52.3,0.72
Isabelle White,Liberal,26479,32.17,1.85
Christopher Buttel,United Australia,3361,4.08,4.08
Dave Vincent,Christian,2862,3.48,-1.58
Ben Hammond,Greens,2198,2.67,-5.76
Ammar Khan,Independent,1749,2.13,2.13
Elizabeth Power,One Nation,1402,1.7,-0.27
Michael Wright,Democratic Labour,810,0.98,0.98
Alex Norwick,Right-wing Populist,396,0.48,-0.69
tcp
Ed Husic,Labor,49831,60.55,-1.79
Isabelle White,Liberal,32470,39.45,1.79
Seat,Chisholm
fp
John Nguyen,Liberal,37990,44.12,3.9
Anna Burke,Labor,34015,39.5,-4.75
Josh Fergeus,Greens,8133,9.45,-2.44
Luzio Grossi,Centre-left,1762,2.05,2.05
Brian Woods,United Australia,1405,1.63,1.63
Martin Myszka,Christian,949,1.1,-1.56
Pat Shea,Democratic Labour,860,1.0,1.0
