MidDate,Quality Adjustment,Firm,TPP ALP,LNP FP,ALP FP,GRN FP,ONP FP,OTH FP
2015-08-30,0,SMS Morgan,57,35.5,39,16.5,#N/A,9
2015-10-12,0,SMS Morgan,55.5,39,40,14.5,#N/A,6.5
2015-10-15,1,Essential,53,41,36,14,#N/A,9
2015-11-15,1,Essential,54,39,38,12,#N/A,10
2015-12-01,1,Newspoll2,52,43,39,12,#N/A,6
2015-12-04,0,SMS Morgan,53.5,40.5,38,13.5,#N/A,8
2015-12-15,1,Essential,54,40,41,10,#N/A,9
2016-01-15,1,Essential,54,40,39,12,#N/A,8
2016-01-31,0,SMS Morgan,53.5,41,39,13,#N/A,7
2016-02-15,1,Essential,52,43,37,13,#N/A,8
2016-03-15,1,Essential,53,41,39,13,#N/A,8
2016-03-27,1,SMS Morgan,55,39,40.5,12,#N/A,8.5
2016-04-15,1,Essential,53,41,38,13,#N/A,8
2016-05-15,1,Essential,53,41,39,11,#N/A,10
2016-06-16,1,Essential,52,42,38,12,#N/A,9
2016-05-27,1,SMS Morgan,56,38,40.5,13,#N/A,8.5
2016-08-15,0,Essential,53,40,38,12,#N/A,10
2016-08-21,1,SMS Morgan,55.5,36,37,13.5,#N/A,13.5
2016-09-01,1,ReachTEL,51,40.1,34.6,10.7,#N/A,14.6
2016-10-01,1,SMS Morgan,56.5,36,39,13,#N/A,12
2016-10-15,1,Essential,52,41,39,11,#N/A,9
2016-11-01,1,Newspoll2,53,42,40,12,#N/A,6
2016-11-15,0,Essential,53,41,38,11,#N/A,10
2016-11-19,2,Galaxy,52,42,37,12,#N/A,9
2016-12-15,1,Essential,53,41,38,12,#N/A,9
2017-02-15,0,Essential,53,40,39,11,#N/A,10
2017-02-19,1,Galaxy,51,41,37,10,8,4
2017-03-07,1,ReachTEL,46,39.8,30.3,8,#N/A,15.7
2017-05-15,0,Essential,53,41,38,12,#N/A,9
2017-06-01,2,Galaxy,47,44,33,8,#N/A,14
2017-07-15,1,Essential,51,44,38,11,#N/A,7
2017-08-15,0,Essential,52,42,40,10,#N/A,8
2017-09-15,1,Essential,54,39,41,10,#N/A,10
2017-10-15,0,Essential,53,40,38,11,#N/A,10
2017-11-15,1,Newspoll2,51,43,38,10,#N/A,9
2017-11-15,1,Essential,51,43,37,10,#N/A,11
2017-12-15,1,Essential,49,46,37,9,#N/A,8
2017-12-06,2,Galaxy,50,41,36,10,6,7
2018-02-18,1,Newspoll2,52,39,37,11,6,7
2018-04-15,1,Newspoll2,51,41,38,11,5,5
2018-07-05,1,ReachTEL,51,40.8,36.7,10.9,3.7,7.9
2018-08-09,1,Galaxy,51,42,38,10,5,5
2018-09-15,1,Galaxy,53,40,42,10,#N/A,8
2018-10-03,1,ReachTEL,52,39.4,37.7,10.9,#N/A,12
2018-10-26,1,Galaxy,53,39,40,12,#N/A,9
2018-10-28,1,Newspoll2,54,39,41,11,#N/A,9
2018-11-13,1,ReachTEL,56,36.8,40.4,10.3,#N/A,12.5
2018-11-21,0,Galaxy,53,40,40,11,#N/A,9
2018-11-21,0,ReachTEL,54,37.8,40.8,11,#N/A,10.4
2018-11-21,0,Newspoll2,53.5,40,41,11,#N/A,8
2018-11-23,0,SMS Morgan,54,33,39,13,#N/A,15
2020-09-16,1,SMS Morgan,51.5,38.5,37,12,#N/A,12.5
2020-09-15,4,Redbridge,54,35.8,39.1,8,#N/A,17.1
2020-09-30,1,SMS Morgan,51.5,39.5,39,10,#N/A,11.5
2020-11-07,1,Galaxy,55,40,44,11,#N/A,5
2020-11-10,2,SMS Morgan,58.5,34.5,45,11,#N/A,9.5
2021-06-04,2,ResolvePM,,36,37,9,#N/A,17
2021-06-15,4,Redbridge,52.4,41,37,12,#N/A,10
2021-08-04,3,ResolvePM,,35,40,10,#N/A,15
