MidDate,Firm,TPP ALP,LNP FP,ALP FP,GRN FP,SAB FP,DEM FP,FF FP,OTH FP,,,,,,,,,,,
2014-11-15,Newspoll,47,33,35,10,#N/A,#N/A,#N/A,22,,,,,,,,,,,
2015-02-15,Newspoll,54,33,36,10,#N/A,#N/A,#N/A,21,,,,,,,,,,,
2015-05-15,Newspoll,54,33,36,10,#N/A,#N/A,#N/A,21,,,,,,,,,,,
2015-08-05,SMS Morgan,51,39.5,34,14,#N/A,#N/A,#N/A,12.5,,,,,,,,,,,
2015-08-30,SMS Morgan,50.5,39.5,33.5,14,#N/A,#N/A,#N/A,13,,,,,,,,,,,
2015-10-11,SMS Morgan,49,41.5,33.5,12.5,#N/A,#N/A,5,7.5,,,,,,,,,,,
2015-11-15,Essential,54,32,39,10,#N/A,#N/A,#N/A,19,,,,,,,,,,,
2015-12-04,SMS Morgan,46,37,26,10,18,#N/A,5.5,3.5,,,,,,,,,,,
2016-02-01,SMS Morgan,47,35.5,27,9.5,20.5,#N/A,5.5,2,,,,,,,,,,,
2015-02-04,Galaxy,49,33,28,7,24,#N/A,#N/A,8,,,,,,,,,,,
2016-02-15,Essential,54,29,37,9,15,#N/A,#N/A,10,,,,,,,,,,,
2016-03-25,SMS Morgan,50,30,27,10.5,24,#N/A,4.5,4,,,,,,,,,,,
2016-05-15,Essential,51,30,34,7,20,#N/A,#N/A,9,,,,,,,,,,,
2016-05-25,SMS Morgan,48,31,25.5,2.5,28,#N/A,5,1.5,,,,,,,,,,,
2016-08-15,Essential,54,30,38,7,16,#N/A,#N/A,9,,,,,,,,,,,
2016-08-20,SMS Morgan,45,37,24.5,9.5,21,#N/A,5.5,2.5,,,,,,,,,,,
2016-09-13,Galaxy,47,35,27,7,22,#N/A,5,4,,,,,,,,,,,
2016-10-01,SMS Morgan,46,36.5,24.5,11,19.5,#N/A,#N/A,8.5,,,,,,,,,,,
2016-11-15,Essential,51,32,35,7,17,#N/A,#N/A,8,,,,,,,,,,,
2016-11-15,Newspoll,51,38,36,9,#N/A,#N/A,#N/A,17,,,,,,,,,,,
2017-02-15,Essential,52,28,35,6,18,#N/A,#N/A,12,,,,,,,,,,,
2017-05-15,Essential,52,31,36,7,19,#N/A,#N/A,8,,,,,,,,,,,
2017-06-03,Galaxy,50,34,28,6,21,#N/A,#N/A,11,,,,,,,,,,,
2017-08-15,Essential,52,30,37,6,18,#N/A,#N/A,10,,,,,,,,,,,
2017-11-15,Newspoll,#N/A,29,27,6,32,#N/A,#N/A,6,,,,,,,,,,,
2017-11-15,Essential,51,31,34,8,22,#N/A,#N/A,6,,,,,,,,,,,
2018-01-12,SMS Morgan,#N/A,32,23.5,9,28.5,#N/A,#N/A,7,,,,,,,,,,,
2018-01-29,ReachTEL,#N/A,33.4,26.1,5.5,17.6,#N/A,#N/A,9.1,,,,,,,,,,,
2018-02-28,Newspoll,#N/A,32,30,7,21,#N/A,#N/A,10,,,,,,,,,,,
2018-03-14,Newspoll,#N/A,34,31,8,17,#N/A,#N/A,10,,,,,,,,,,,
2018-03-15,ReachTEL,52,34,31,8,16,#N/A,#N/A,11,,,,,,,,,,,
2019-03-16,Galaxy,48,42,37,7,7,#N/A,#N/A,10,,,,,,,,,,,
2020-03-13,Galaxy,53,39,38,7,7,#N/A,#N/A,5,,,,,,,,,,,
2020-08-10,Advertiser,46,44,32,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,
2020-09-18,Galaxy,47,46,35,10,5,#N/A,#N/A,4,,,,,,,,,,,
2021-02-27,Galaxy,49,43,36,10,6,#N/A,#N/A,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
