MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,NXT FP,UAP FP,DEM FP,DLP FP,OTH FP,GLApp,GLDis,Comments
1963-06-15,F2F Morgan,,#N/A,47,46,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,
1963-08-15,F2F Morgan,,#N/A,48,47,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,
1963-10-15,F2F Morgan,,#N/A,43,50,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,
1964-06-15,F2F Morgan,,#N/A,51,43,#N/A,#N/A,#N/A,#N/A,#N/A,6,0,,,
1964-10-15,F2F Morgan,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,#N/A,7,2,,,
1964-11-21,F2F Morgan,,#N/A,45,47,#N/A,#N/A,#N/A,#N/A,#N/A,7,1,,,#Exact date given
1964-11-28,F2F Morgan,,#N/A,45,48,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,#Exact date given
1965-07-15,F2F Morgan,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,#N/A,8,1,,,#Transcribed
1965-09-15,F2F Morgan,,#N/A,52,41,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,
1966-02-15,F2F Morgan,,#N/A,55,39,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1966-04-15,F2F Morgan,,#N/A,52,40,#N/A,#N/A,#N/A,#N/A,#N/A,7,1,,,
1966-09-15,F2F Morgan,,#N/A,52,40,#N/A,#N/A,#N/A,#N/A,#N/A,6,2,,,
1966-11-15,F2F Morgan,,#N/A,53,37,#N/A,#N/A,#N/A,#N/A,#N/A,8,2,,,
1967-02-15,F2F Morgan,,#N/A,54,38,#N/A,#N/A,#N/A,#N/A,#N/A,7,1,,,
1967-05-15,F2F Morgan,,#N/A,51,41,#N/A,#N/A,#N/A,#N/A,#N/A,6,2,,,
1967-07-15,F2F Morgan,,#N/A,49,47,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,,,
1967-09-15,F2F Morgan,,#N/A,47,45,#N/A,#N/A,#N/A,#N/A,#N/A,6,2,,,
1967-11-15,F2F Morgan,,#N/A,43,45,#N/A,#N/A,#N/A,#N/A,#N/A,10,2,,,#Transcribed
1967-12-15,F2F Morgan,,#N/A,50,44,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1968-02-15,F2F Morgan,,#N/A,53,39,#N/A,#N/A,#N/A,#N/A,#N/A,7,1,,,#Transcribed
1968-06-15,F2F Morgan,,#N/A,51,41,#N/A,#N/A,#N/A,#N/A,#N/A,7,1,,,
1968-08-15,F2F Morgan,,#N/A,50,41,#N/A,#N/A,#N/A,#N/A,#N/A,7,2,,,
1968-10-15,F2F Morgan,,#N/A,48,42,#N/A,#N/A,#N/A,#N/A,#N/A,8,2,,,
1969-02-15,F2F Morgan,,#N/A,51,39,#N/A,#N/A,#N/A,#N/A,#N/A,8,2,,,
1969-04-15,F2F Morgan,,#N/A,52,40,#N/A,#N/A,#N/A,#N/A,#N/A,7,1,,,
